Project Name,Project Purpose,Target,Created At,Archived,Summary Title,Summary Notes,Summary Date,Summary Researcher
AL-Ge smh,bla bla,bla,2026-02-01 10:08:33,False,5 dB/km achived,good good,2026-05-20,Ohad
Network Smoke Project,Network smoke purpose,Network smoke target,2026-05-17 10:37:18,False,Smoke Summary,Summary created by smoke test,2026-05-14,Codex
Full Flow Smoke 20260517104033,Full flow purpose,Full flow target,2026-05-17 10:40:39,False,Full flow summary,Summary body,2026-05-17,Codex
Network Smoke Project 195738,Network smoke purpose,Network smoke target,2026-05-26 19:59:04,False,Smoke Summary,Summary created by smoke test,2026-05-14,Codex
Network Smoke Project 203603,Network smoke purpose,Network smoke target,2026-05-26 20:36:37,False,Smoke Summary,Summary created by smoke test,2026-05-14,Codex
Network Smoke Project 204843,Network smoke purpose,Network smoke target,2026-05-26 20:49:19,False,Smoke Summary,Summary created by smoke test,2026-05-14,Codex
Full Flow Smoke 20260528141555,Full flow purpose,Full flow target,2026-05-28 14:16:10,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528142423,Full flow purpose,Full flow target,2026-05-28 14:24:37,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528142936,Full flow purpose,Full flow target,2026-05-28 14:29:56,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528144725,Full flow purpose,Full flow target,2026-05-28 14:47:41,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528150023,Full flow purpose,Full flow target,2026-05-28 15:00:48,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528152016,Full flow purpose,Full flow target,2026-05-28 15:20:41,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528153013,Full flow purpose,Full flow target,2026-05-28 15:30:29,False,Full flow summary,Summary body,2026-05-28,Codex
Full Flow Smoke 20260528154045,Full flow purpose,Full flow target,2026-05-28 15:41:00,False,Full flow summary,Summary body,2026-05-28,Codex
