Status,Priority,Order Opener,Preform Number,Fiber Project,Timestamp,Fiber Diameter (µm),Main Coating Diameter (µm),Secondary Coating Diameter (µm),Tension (g),Draw Speed (m/min),Required Length (m) (for T&M+costumer),Good Zones Count (required length zones),Main Coating,Secondary Coating,Notes,Desired Date,Next Planned Draw Date,Fiber Geometry Type,Tiger Cut (%),Octagonal F2F (mm),Main Coating Temperature (°C),Secondary Coating Temperature (°C),Fiber Diameter Tol (± µm),Main Coating Diameter Tol (± µm),Secondary Coating Diameter Tol (± µm),Active CSV,Done CSV,Done Description,T&M Moved,T&M Moved Timestamp,Status Updated At,Assigned Dataset CSV,Done Timestamp,Failed CSV,Failed Description,Failed Timestamp,Preform Length After Draw (cm),Length (m),Spools,Fiber name and number,Preform Name,Fiber Type,Preform Length After Draw (m),Failed Reason,Fail Try Count,Fail Try Last Time,Fail Try Dataset CSV,Furnace Temperature (°C),Preform Diameter (mm)
In Progress,Normal,OJAD,P0ttt,LARA - ELOP,2026-02-03 16:56:13.048007,400.0,560.0,650.0,60.0,40.0,0.03,1,Coating_OF_136,DP-1032,MAKT IS UV TEST,,,Octagonal,0.0,28.0,28.0,28.0,,,,LARA - ELOP_P0ttt_20260203_165631.csv,,,False,,2026-02-05 09:04:12,LARA - ELOP_P0ttt_20260203_165631.csv,,LARA - ELOP_P0ttt_20260203_165631.csv,fdsfds,2026-02-03 18:30:04,15.0,,,,,,,,3.0,2026-02-05 09:04:12,LARA - ELOP_P0ttt_20260203_165631.csv,,
In Progress,Normal,T,TTT,TAMAM - TIGER,2026-02-03 17:18:46.559579,40.0,80.0,110.0,20.0,50.0,0.02,1,DP-1032,DS-2015,גדשכגדשכ,,,TIGER - PM,21.0,0.0,36.0,28.0,,,,TAMAM - TIGER_TTT_20260203_183044.csv,,,False,,2026-02-05 08:16:23,TAMAM - TIGER_TTT_20260203_183044.csv,,TAMAM - TIGER_TTT_20260203_183044.csv,df,2026-02-03 18:31:23,13.0,,,,,,,,3.0,2026-02-05 08:16:23,TAMAM - TIGER_TTT_20260203_183044.csv,,
Done,Normal,P,PPP,LARA - ELOP,2026-02-04 20:32:01.502075,400.0,560.0,650.0,60.0,40.0,0.01,1,Coating_OF_136,DP-1032,,,,Octagonal,0.0,28.0,28.0,28.0,,,,LARA - ELOP_PPP_20260204_203213.csv,LARA - ELOP_PPP_20260204_203213.csv,TEST,True,2026-02-08 21:12:39,2026-02-04 20:33:21,LARA - ELOP_PPP_20260204_203213.csv,2026-02-04 20:33:21,,,,1.0,,,,,,,,0.0,,,,
In Progress,Normal,T,TTT,LARA - ELOP,2026-02-05 06:20:41.909129,400.0,560.0,650.0,60.0,40.0,0.02,1,Coating_OF_136,DP-1032,,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,LARA - ELOP_TTT_20260205_062100.csv,,,False,,2026-02-05 08:15:53,LARA - ELOP_TTT_20260205_062100.csv,,LARA - ELOP_TTT_20260205_062100.csv,NOT GOOD COATING,2026-02-05 06:22:03,1.0,,,,,,,,2.0,2026-02-05 08:15:53,LARA - ELOP_TTT_20260205_062100.csv,,
In Progress,Normal,r,RERER,TAMAM - TIGER,2026-02-05 06:44:49.405524,40.0,80.0,110.0,20.0,50.0,0.01,1,DP-1032,DS-2015,,,,TIGER - PM,21.0,0.0,36.0,28.0,1.0,5.0,15.0,,,,False,,2026-02-05 06:45:31,PF_RERER_20260205_064531.csv,,,,,,,,,,,,,0.0,,,,
In Progress,Normal,E,RE,LARA - ELOP,2026-02-05 06:47:25.390431,400.0,560.0,650.0,60.0,40.0,0.02,1,Coating_OF_136,DP-1032,,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,LARA - ELOP_RE_20260205_064737.csv,,,False,,2026-02-05 09:00:45,LARA - ELOP_RE_20260205_064737.csv,,LARA - ELOP_RE_20260205_064737.csv,BABABA,2026-02-05 06:48:08,0.5,,,,,,,,2.0,2026-02-05 09:00:45,LARA - ELOP_RE_20260205_064737.csv,,
In Progress,Normal,H,HHH,LARA - ELOP,2026-02-05 08:00:42.893038,400.0,560.0,650.0,60.0,40.0,0.01,1,Coating_OF_136,DP-1032,H,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,LARA - ELOP_HHH_20260205_080105.csv,,,False,,2026-02-05 09:08:33,LARA - ELOP_HHH_20260205_080105.csv,,LARA - ELOP_HHH_20260205_080105.csv,HI,2026-02-05 08:01:40,0.5,,,,,,,,2.0,2026-02-05 09:08:33,LARA - ELOP_HHH_20260205_080105.csv,,
Done,Normal,u,uuu,TAMAM - TIGER,2026-02-06 10:02:49.800461,40.0,80.0,110.0,20.0,50.0,0.01,1,DP-1032,DS-2015,u,,,TIGER - PM,21.0,0.0,36.0,28.0,1.0,5.0,15.0,TAMAM - TIGER_uuu_20260206_100305.csv,TAMAM - TIGER_uuu_20260206_100305.csv,feds,True,2026-02-10 20:02:06,2026-02-06 10:03:57,TAMAM - TIGER_uuu_20260206_100305.csv,2026-02-06 10:03:57,,,,0.5,,,,,,,,,,,,
Done,Normal,A,AAA,CIVAN - LARA,2026-02-06 10:15:12.517896,400.0,560.0,670.0,20.0,20.0,0.02,1,Coating_OF_136,DS-2015,A,,,PANDA - PM,0.0,0.0,28.0,28.0,15.0,15.0,15.0,CIVAN - LARA_AAA_20260206_101525.csv,CIVAN - LARA_AAA_20260206_101525.csv,FFFF,True,2026-02-10 20:02:06,2026-02-06 10:16:10,CIVAN - LARA_AAA_20260206_101525.csv,2026-02-06 10:16:10,,,,1.0,,,,,,,,,,,,
Done,Normal,ew,ewrerwq,ELOP - 130/10,2026-02-06 10:27:56.235122,130.0,190.0,245.0,20.0,50.0,0.01,1,DP-1032,DS-2015,ewer,,,STEP INDEX,0.0,0.0,25.0,25.0,1.0,5.0,15.0,10_ewrerwq_20260206_103414.csv,10_ewrerwq_20260206_103414.csv,dfs,True,2026-02-10 20:02:06,2026-02-06 10:42:41,10_ewrerwq_20260206_103414.csv,2026-02-06 10:42:41,,,,0.5,,,,,,,,,,,,
Done,Normal,pdfs,sadfsafd,LARA - ELOP,2026-02-06 10:55:48.273507,400.0,560.0,650.0,60.0,40.0,0.01,1,Coating_OF_136,DP-1032,sdfsad,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,LARA - ELOP_sadfsafd_20260206_105614.csv,LARA - ELOP_sadfsafd_20260206_105614.csv,fsdfsd,True,2026-02-10 20:02:06,2026-02-06 10:56:43,LARA - ELOP_sadfsafd_20260206_105614.csv,2026-02-06 10:56:43,,,,1.0,,,,,,,,,,,,
In Progress,Normal,sd,ds,LARA - ELOP,2026-02-06 12:13:35.222789,400.0,560.0,650.0,60.0,40.0,0.01,1,Coating_OF_136,DP-1032,sd,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,LARA - ELOP_ds_20260206_162733.csv,,,False,,2026-02-06 16:27:33,LARA - ELOP_ds_20260206_162733.csv,,,,,,,,,,,,,,,,,
In Progress,Normal,fdf,fdf,TAMAM - TIGER,2026-02-06 13:54:02.136766,40.0,80.0,110.0,20.0,50.0,0.01,1,DP-1032,DS-2015,dfdf,,,TIGER - PM,21.0,0.0,36.0,28.0,1.0,5.0,15.0,TAMAM - TIGER_fdf_20260206_162238.csv,,,False,,2026-02-06 16:22:38,TAMAM - TIGER_fdf_20260206_162238.csv,,,,,,,,,,,,,,,,,
In Progress,Normal,123,23,CIVAN - LARA,2026-02-06 16:43:20.895099,400.0,560.0,670.0,20.0,20.0,0.01,1,Coating_OF_136,DS-2015,213,,,PANDA - PM,0.0,0.0,28.0,28.0,15.0,15.0,15.0,CIVAN - LARA_23_20260206_164333.csv,,,False,,2026-02-06 16:43:33,CIVAN - LARA_23_20260206_164333.csv,,,,,,,,,,,,,,,,,
Done,Normal,ERRE,RERERERER,TAMAM - TIGER,2026-02-06 16:59:07.670817,40.0,80.0,110.0,20.0,50.0,0.01,1,DP-1032,DS-2015,RERE,,,TIGER - PM,21.0,0.0,36.0,28.0,1.0,5.0,15.0,TAMAM - TIGER_RERERERER_20260206_170239.csv,TAMAM - TIGER_RERERERER_20260206_170239.csv,דכ,True,2026-02-13 04:55:35,2026-02-08 19:14:12,TAMAM - TIGER_RERERERER_20260206_170239.csv,2026-02-08 19:14:12,,,,0.0,,,,,,,,,,,,
Done,Normal,TG,TGTGTG,TAMAM - TIGER,2026-02-07 17:45:43.612706,40.0,80.0,110.0,20.0,50.0,0.02,1,DP-1032,DS-2015,TG,,,TIGER - PM,21.0,0.0,36.0,28.0,1.0,5.0,15.0,TAMAM - TIGER_TGTGTG_20260207_174558.csv,TAMAM - TIGER_TGTGTG_20260207_174558.csv,pdf,True,2026-02-11 21:41:36,2026-02-07 18:19:27,TAMAM - TIGER_TGTGTG_20260207_174558.csv,2026-02-07 18:19:27,,,,0.5,,,,,,,,,,,,
Done,Normal,DS,TIFER,TAMAM - TIGER,2026-02-08 08:10:05.746045,40.0,80.0,110.0,20.0,50.0,0.01,1,DP-1032,DS-2015,SD,,,TIGER - PM,21.0,0.0,36.0,28.0,1.0,5.0,15.0,TAMAM - TIGER_TIFER_20260208_081024.csv,TAMAM - TIGER_TIFER_20260208_081024.csv,DS,True,2026-02-12 09:15:30,2026-02-08 08:13:03,TAMAM - TIGER_TIFER_20260208_081024.csv,2026-02-08 08:13:03,,,,0.5,,,,,,,,,,,,
Done,Normal,O,P0555,LARA - ELOP,2026-02-08 10:46:25.091599,400.0,560.0,650.0,60.0,40.0,0.01,1,Coating_OF_136,DP-1032,df,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,P0555F_1.csv,P0555F_1.csv,ALL GOOD,True,2026-02-13 04:55:35,2026-02-08 20:21:00,P0555F_1.csv,2026-02-08 20:21:00,,,,0.0,,,,,,,,,,,,
Done,Normal,O,p0999,LARA - ELOP,2026-02-09 09:58:19.255100,400.0,560.0,650.0,60.0,40.0,0.01,1,Coating_OF_136,DP-1032,,,,Octagonal,0.0,28.0,28.0,28.0,0.0,0.0,0.0,p0999F_1.csv,p0999F_1.csv,fgdfdgfd,True,2026-02-13 10:18:34,2026-02-09 10:06:10,p0999F_1.csv,2026-02-09 10:06:10,,,,0.0,,,,,,,,,,,,
