Experiment Title,Update Date,Researcher,Update Notes,Project Name
1550 PM,2025-03-26,Ohad,coat 150 try - good coating range,
1550 PM,2025-03-26,Ohad,coat 150 try - good coating range,
tiger 40um,2025-03-26,,,
tiger 40um,2025-03-26,,TM conduct,
coat,2025-03-26,Ohad,dies tried,
3,2025-04-04,,,
231.0,2025-04-04,,,
231.0,2025-04-04,,,
231.0,2025-04-04,,,
231.0,2025-04-04,,,
32,2025-04-04,,,
isa,2025-04-04,Ohad,"draw part:
",
מאמר רלוונטי לניסוי קרוב,2026-02-24,Ohad,We finally solve it,AL-Ge smh
Smoke update 4,2026-05-14,Codex,Concurrent update 4,Network Smoke Project
Smoke update 5,2026-05-15,Codex,Concurrent update 5,Network Smoke Project
Smoke update 2,2026-05-12,Codex,Concurrent update 2,Network Smoke Project
Smoke update 0,2026-05-10,Codex,Concurrent update 0,Network Smoke Project
Smoke update 1,2026-05-11,Codex,Concurrent update 1,Network Smoke Project
Smoke update 3,2026-05-13,Codex,Concurrent update 3,Network Smoke Project
Full flow update,2026-05-17,Codex,Update body,Full Flow Smoke 20260517104033
Smoke update 1,2026-05-11,Codex,Concurrent update 1,Network Smoke Project 195738
Smoke update 0,2026-05-10,Codex,Concurrent update 0,Network Smoke Project 195738
Smoke update 3,2026-05-13,Codex,Concurrent update 3,Network Smoke Project 195738
Smoke update 5,2026-05-15,Codex,Concurrent update 5,Network Smoke Project 195738
Smoke update 4,2026-05-14,Codex,Concurrent update 4,Network Smoke Project 195738
Smoke update 2,2026-05-12,Codex,Concurrent update 2,Network Smoke Project 195738
Smoke update 2,2026-05-12,Codex,Concurrent update 2,Network Smoke Project 203603
Smoke update 4,2026-05-14,Codex,Concurrent update 4,Network Smoke Project 203603
Smoke update 3,2026-05-13,Codex,Concurrent update 3,Network Smoke Project 203603
Smoke update 5,2026-05-15,Codex,Concurrent update 5,Network Smoke Project 203603
Smoke update 1,2026-05-11,Codex,Concurrent update 1,Network Smoke Project 203603
Smoke update 0,2026-05-10,Codex,Concurrent update 0,Network Smoke Project 203603
Smoke update 1,2026-05-11,Codex,Concurrent update 1,Network Smoke Project 204843
Smoke update 2,2026-05-12,Codex,Concurrent update 2,Network Smoke Project 204843
Smoke update 3,2026-05-13,Codex,Concurrent update 3,Network Smoke Project 204843
Smoke update 0,2026-05-10,Codex,Concurrent update 0,Network Smoke Project 204843
Smoke update 4,2026-05-14,Codex,Concurrent update 4,Network Smoke Project 204843
Smoke update 5,2026-05-15,Codex,Concurrent update 5,Network Smoke Project 204843
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528141555
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528142423
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528142936
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528144725
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528150023
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528152016
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528153013
Full flow update,2026-05-28,Codex,Update body,Full Flow Smoke 20260528154045
