Status,Part Name,Serial Number,Project Name,Details,Opened By,Approval Requested From,Approved,Approved By,Approval Date,Received Date,Received State,Ordered By,Date Ordered,Company,Inventory Synced,Maintenance Component,Maintenance Task,Maintenance Task ID,Wait ID
Wait for Approval,NET-SMOKE-PART-4,NS-4,Network Smoke Project,Smoke order 4,codex,ys,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 103957,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 103957,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 103957,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 103957,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 103957,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 103957,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,FLOWP4033 Grease,,Maintenance,Maintenance hold: General — Weekly full flow 20260517104033 (Task ID: G-MNT-001).,rebuild,,No,,,,,,,,,General,Weekly full flow 20260517104033,G-MNT-001,
Opened,FLOWP4033 Wipe,,Maintenance,Maintenance hold: General — Weekly full flow 20260517104033 (Task ID: G-MNT-001).,rebuild,,No,,,,,,,,,General,Weekly full flow 20260517104033,G-MNT-001,
Opened,NET-SMOKE-PART-1,NS-1,Network Smoke Project 195738,Smoke order 1,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-0,NS-0,Network Smoke Project 195738,Smoke order 0,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-5,NS-5,Network Smoke Project 195738,Smoke order 5,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-4,NS-4,Network Smoke Project 195738,Smoke order 4,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-2,NS-2,Network Smoke Project 195738,Smoke order 2,codex,,No,,,,,,,,,Network Component,Smoke Task,,
Opened,NET-SMOKE-PART-3,NS-3,Network Smoke Project 195738,Smoke order 3,codex,,No,,,,,,,,,Network Component,Smoke Task,,
