Event Type,Start DateTime,End DateTime,Description,Recurrence
Maintenance,2026-05-20T07:30:00,2026-05-20T09:00:00,Maintenance scheduled: 63mm Furnace System — Monthly: inspect bottom doors for distortion/damage; replace if needed (Task ID: FUR-MNT-006).,none
Maintenance,2026-05-20T07:30:00,2026-05-20T09:00:00,Maintenance scheduled: 63mm Furnace System — Every 6 months OR 3000 operating hours: tower alignment check using plumb line (Task ID: FUR-MNT-010).,none
Drawing,2026-05-20 08:00:00,2026-05-20 15:41:00,ORDER #19 | Priority: Normal | Fiber: TAMAM - TIGER | Geometry: TIGER - PM | Preform: TE000 | Required Length: 500.0 m | Good Zones Count: 1 | Diameters: Fiber 40 ± 0.6 µm | Coat1 83 ± 1 µm | Coat2 105 ± 5 µm | Tiger Cut: 21.0% | Main Coat Temp: 36°C | Sec Coat Temp: 28°C | Notes: עברית בודקים פה,None
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
Drawing,2026-05-22 09:30:00,2026-05-22 11:05:00,ORDER #20 | Priority: Normal | Fiber: Network Smoke Project 204843 | Geometry: Round | Preform: NETQ9843 | Required Length: 1100.0 m | Good Zones Count: 1 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Network scheduled-start smoke,None
Maintenance,2026-05-20 09:00:00,2026-05-20 10:00:00,Network smoke schedule 0,none
Maintenance,2026-05-26 09:06:00,2026-05-26 10:06:00,Network smoke schedule 6,none
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Drawing,2026-05-21 09:01:00,2026-05-21 10:01:00,Network smoke schedule 1,none
Maintenance,2026-05-24 09:04:00,2026-05-24 10:04:00,Network smoke schedule 4,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
Drawing,2026-05-25 09:05:00,2026-05-25 10:05:00,Network smoke schedule 5,none
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Drawing,2026-05-22 09:30:00,2026-05-22 11:05:00,ORDER #21 | Priority: Normal | Fiber: Network Smoke Project 210123 | Geometry: Round | Preform: NETQ9123 | Required Length: 1100.0 m | Good Zones Count: 1 | Diameters: Fiber 125 ± 1 µm | Coat1 245 ± 2 µm | Coat2 400 ± 3 µm | Main Coat Temp: 62°C | Sec Coat Temp: 58°C | Notes: Network scheduled-start smoke,None
Drawing,2026-05-23 09:03:00,2026-05-23 10:03:00,Network smoke schedule 3,none
Maintenance,2026-05-22 09:02:00,2026-05-22 10:02:00,Network smoke schedule 2,none
Drawing,2026-05-27 09:07:00,2026-05-27 10:07:00,Network smoke schedule 7,none
