Parameter Name,Value,Units
=== ZONE SNAPSHOT ===,,
Zone Number,2,
Dashboard Log File,NetworkCopy_Training_network_smoke_raw.csv,
Good Zones X Column,Bare Fibre Diameter,
Zone Length Column (log),Fibre Length,
Zone 2 | Start,125.18,Bare Fibre Diameter
Zone 2 | End,125.09,Bare Fibre Diameter
Zone 2 | Length span,1.9500000000000002,km
Zone 2 | Fibre Length | Min,2.05,km
Zone 2 | Fibre Length | Max,4.0,km
Zone 2 | Bare Fibre Diameter | Avg,125.08775,
Zone 2 | Bare Fibre Diameter | Min,125.0,
Zone 2 | Bare Fibre Diameter | Max,125.18,
Zone 2 | Furnace DegC Actual | Avg,2127.225,
Zone 2 | Furnace DegC Actual | Min,2118.45,
Zone 2 | Furnace DegC Actual | Max,2136.0,
Zone 2 | Fibre Length | Avg,3.025,
Zone 2 | Fibre Length | Min,2.05,
Zone 2 | Fibre Length | Max,4.0,
Zone 2 | UV 1 Intensity | Avg,82.4,
Zone 2 | UV 1 Intensity | Min,82.0,
Zone 2 | UV 1 Intensity | Max,82.8,
Zone 2 | Furnace MFC1 Actual | Avg,1.175,
Zone 2 | Furnace MFC1 Actual | Min,1.1,
Zone 2 | Furnace MFC1 Actual | Max,1.25,
Zone 2 | Good Fibre State | Avg,1.0,
Zone 2 | Good Fibre State | Min,1.0,
Zone 2 | Good Fibre State | Max,1.0,
Zone 2 | Trend Marker | Avg,0.025,
Zone 2 | Trend Marker | Min,0.0,
Zone 2 | Trend Marker | Max,1.0,
