Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0346.2F_1,
Order__Draw Date,2024-02-01 08:00:00,
Order__Order Index,,
Order__Preform Number,P0346.2,
Order__Fiber Project,CIVAN - LARA,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),250,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Fiber Diameter Tol (± µm),15.0,µm
Order__Main Coating Diameter (µm),475.0,µm
Order__Main Coating Diameter Tol (± µm),15.0,µm
Order__Secondary Coating Diameter (µm),560.0,µm
Order__Secondary Coating Diameter Tol (± µm),15.0,µm
Order__Tension (g),25.0,g
Order__Draw Speed (m/min),13.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,400 - PM,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2024-02-01 08:00:00,
Process__Preform Diameter,27.3,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,0.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,1,bool
Process__Iris Mode,PM Auto,
Process__Base Area,585.3493971984843,mm^2
Process__Adjusted Area,585.3493971984843,mm^2
Process__Effective Preform Diameter,27.3,mm
Process__Selected Iris Diameter,37.0,mm
Process__Iris Gap Area,489.86068849262244,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,475.0,µm
Process__Target Second Coating Diameter,560.0,µm
Process__First Coating Diameter (Theoretical),475.0,µm
Process__Second Coating Diameter (Theoretical),560.0,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,,µm
Process__Secondary Die Diameter,,µm
Process__Primary Die Name,,
Process__Secondary Die Name,,
Process__Coating Die Selection Mode,Legacy Import,
Process__Draw Speed,13.0,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,Winder,
Process__Increment TF Value,,
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2024-02-01 08:00:00,
Dashboard Log File,,
Good Zones Count,3,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,0.488,index/label
Zone 1 | End,0.892,index/label
Zone 1 | Bare Fibre Diameter | Avg,400.0,
Zone 1 | Bare Fibre Diameter | Min,400.0,
Zone 1 | Bare Fibre Diameter | Max,400.0,
Zone 1 | Capstan Speed | Avg,13.9386,
Zone 1 | Capstan Speed | Min,13.9386,
Zone 1 | Capstan Speed | Max,13.9386,
Zone 1 | Tension N | Avg,28.4578,g
Zone 1 | Tension N | Min,28.4578,g
Zone 1 | Tension N | Max,28.4578,g
Zone 1 | Furnace DegC Actual | Avg,2105.0,
Zone 1 | Furnace DegC Actual | Min,2105.0,
Zone 1 | Furnace DegC Actual | Max,2105.0,
Zone 1 | Furnace DegC Set | Avg,2105.0,
Zone 1 | Furnace DegC Set | Min,2105.0,
Zone 1 | Furnace DegC Set | Max,2105.0,
Zone 1 | Fibre Length | Avg,0.69,
Zone 1 | Fibre Length | Min,0.488,
Zone 1 | Fibre Length | Max,0.892,
Zone 1 | Coated Inner Diameter | Avg,475.0,
Zone 1 | Coated Inner Diameter | Min,475.0,
Zone 1 | Coated Inner Diameter | Max,475.0,
Zone 1 | Coated Outer Diameter | Avg,560.0,
Zone 1 | Coated Outer Diameter | Min,560.0,
Zone 1 | Coated Outer Diameter | Max,560.0,
Zone 1 | Pf Process Position | Avg,99.55,
Zone 1 | Pf Process Position | Min,58.84,
Zone 1 | Pf Process Position | Max,140.26,
Good Zone 1 (km from end) Start,0.0,km
Good Zone 1 (km from end) End,0.356,km
Good Zone 1 Length,0.356,km
Good Zone 1 Fibre Length Min,0.488,km
Good Zone 1 Fibre Length Max,0.892,km
Zone 2 | Start,0.913,index/label
Zone 2 | End,1.023,index/label
Zone 2 | Bare Fibre Diameter | Avg,400.0,
Zone 2 | Bare Fibre Diameter | Min,400.0,
Zone 2 | Bare Fibre Diameter | Max,400.0,
Zone 2 | Capstan Speed | Avg,13.9386,
Zone 2 | Capstan Speed | Min,13.9386,
Zone 2 | Capstan Speed | Max,13.9386,
Zone 2 | Tension N | Avg,28.4578,g
Zone 2 | Tension N | Min,28.4578,g
Zone 2 | Tension N | Max,28.4578,g
Zone 2 | Furnace DegC Actual | Avg,2105.0,
Zone 2 | Furnace DegC Actual | Min,2105.0,
Zone 2 | Furnace DegC Actual | Max,2105.0,
Zone 2 | Furnace DegC Set | Avg,2105.0,
Zone 2 | Furnace DegC Set | Min,2105.0,
Zone 2 | Furnace DegC Set | Max,2105.0,
Zone 2 | Fibre Length | Avg,0.968,
Zone 2 | Fibre Length | Min,0.913,
Zone 2 | Fibre Length | Max,1.023,
Zone 2 | Coated Inner Diameter | Avg,475.0,
Zone 2 | Coated Inner Diameter | Min,475.0,
Zone 2 | Coated Inner Diameter | Max,475.0,
Zone 2 | Coated Outer Diameter | Avg,560.0,
Zone 2 | Coated Outer Diameter | Min,560.0,
Zone 2 | Coated Outer Diameter | Max,560.0,
Zone 2 | Pf Process Position | Avg,155.5,
Zone 2 | Pf Process Position | Min,144.45,
Zone 2 | Pf Process Position | Max,166.55,
Good Zone 2 (km from end) Start,0.0,km
Good Zone 2 (km from end) End,0.0,km
Good Zone 2 Length,0.0,km
Good Zone 2 Fibre Length Min,0.913,km
Good Zone 2 Fibre Length Max,1.023,km
Zone 3 | Start,1.041,index/label
Zone 3 | End,1.133,index/label
Zone 3 | Bare Fibre Diameter | Avg,400.0,
Zone 3 | Bare Fibre Diameter | Min,400.0,
Zone 3 | Bare Fibre Diameter | Max,400.0,
Zone 3 | Capstan Speed | Avg,13.9386,
Zone 3 | Capstan Speed | Min,13.9386,
Zone 3 | Capstan Speed | Max,13.9386,
Zone 3 | Tension N | Avg,28.4578,g
Zone 3 | Tension N | Min,28.4578,g
Zone 3 | Tension N | Max,28.4578,g
Zone 3 | Furnace DegC Actual | Avg,2105.0,
Zone 3 | Furnace DegC Actual | Min,2105.0,
Zone 3 | Furnace DegC Actual | Max,2105.0,
Zone 3 | Furnace DegC Set | Avg,2105.0,
Zone 3 | Furnace DegC Set | Min,2105.0,
Zone 3 | Furnace DegC Set | Max,2105.0,
Zone 3 | Fibre Length | Avg,1.087,
Zone 3 | Fibre Length | Min,1.041,
Zone 3 | Fibre Length | Max,1.133,
Zone 3 | Coated Inner Diameter | Avg,475.0,
Zone 3 | Coated Inner Diameter | Min,475.0,
Zone 3 | Coated Inner Diameter | Max,475.0,
Zone 3 | Coated Outer Diameter | Avg,560.0,
Zone 3 | Coated Outer Diameter | Min,560.0,
Zone 3 | Coated Outer Diameter | Max,560.0,
Zone 3 | Pf Process Position | Avg,179.10500000000002,
Zone 3 | Pf Process Position | Min,170.03,
Zone 3 | Pf Process Position | Max,188.18,
Good Zone 3 (km from end) Start,0.0,km
Good Zone 3 (km from end) End,0.0,km
