Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0454JF_1,
Order__Draw Date,2024-08-12 08:00:00,
Order__Order Index,,
Order__Preform Number,P0454J,
Order__Fiber Project,R&D,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),500500,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),167.0,µm
Order__Secondary Coating Diameter (µm),260.0,µm
Order__Tension (g),68.07,g
Order__Draw Speed (m/min),25.0,m/min
Order__Main Coating,,
Order__Secondary Coating,,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,125,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2024-08-12 08:00:00,
Process__Preform Diameter,27.75,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,0.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,604.8056732012475,mm^2
Process__Adjusted Area,604.8056732012475,mm^2
Process__Effective Preform Diameter,27.75,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,199.44204611773955,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,167.0,µm
Process__Target Second Coating Diameter,260.0,µm
Process__First Coating Diameter (Theoretical),167.0,µm
Process__Second Coating Diameter (Theoretical),260.0,µm
Process__Primary Coating,,
Process__Secondary Coating,,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,,µm
Process__Secondary Die Diameter,,µm
Process__Primary Die Name,,
Process__Secondary Die Name,,
Process__Coating Die Selection Mode,Legacy Import,
Process__Draw Speed,25.0,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,Winder,
Process__Increment TF Value,,
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2024-08-12 08:00:00,
Dashboard Log File,,
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,1.002,index/label
Zone 1 | End,1.493,index/label
Zone 1 | Bare Fibre Diameter | Avg,125.0,
Zone 1 | Bare Fibre Diameter | Min,125.0,
Zone 1 | Bare Fibre Diameter | Max,125.0,
Zone 1 | Capstan Speed | Avg,24.72,
Zone 1 | Capstan Speed | Min,24.72,
Zone 1 | Capstan Speed | Max,24.72,
Zone 1 | Tension N | Avg,68.07,g
Zone 1 | Tension N | Min,68.07,g
Zone 1 | Tension N | Max,68.07,g
Zone 1 | Furnace DegC Actual | Avg,2120.0,
Zone 1 | Furnace DegC Actual | Min,2120.0,
Zone 1 | Furnace DegC Actual | Max,2120.0,
Zone 1 | Furnace DegC Set | Avg,2120.0,
Zone 1 | Furnace DegC Set | Min,2120.0,
Zone 1 | Furnace DegC Set | Max,2120.0,
Zone 1 | Fibre Length | Avg,1.2475,
Zone 1 | Fibre Length | Min,1.002,
Zone 1 | Fibre Length | Max,1.493,
Zone 1 | Coated Inner Diameter | Avg,167.0,
Zone 1 | Coated Inner Diameter | Min,167.0,
Zone 1 | Coated Inner Diameter | Max,167.0,
Zone 1 | Coated Outer Diameter | Avg,260.0,
Zone 1 | Coated Outer Diameter | Min,260.0,
Zone 1 | Coated Outer Diameter | Max,260.0,
Zone 1 | Pf Process Position | Avg,60.58,
Zone 1 | Pf Process Position | Min,58.53,
Zone 1 | Pf Process Position | Max,62.63,
Good Zone 1 (km from end) Start,1.111,km
Good Zone 1 (km from end) End,1.602,km
Good Zone 1 Length,0.4910000000000001,km
Good Zone 1 Fibre Length Min,1.002,km
Good Zone 1 Fibre Length Max,1.493,km
Zone 2 | Start,2.085,index/label
Zone 2 | End,2.577,index/label
Zone 2 | Bare Fibre Diameter | Avg,125.0,
Zone 2 | Bare Fibre Diameter | Min,125.0,
Zone 2 | Bare Fibre Diameter | Max,125.0,
Zone 2 | Capstan Speed | Avg,24.72,
Zone 2 | Capstan Speed | Min,24.72,
Zone 2 | Capstan Speed | Max,24.72,
Zone 2 | Tension N | Avg,68.07,g
Zone 2 | Tension N | Min,68.07,g
Zone 2 | Tension N | Max,68.07,g
Zone 2 | Furnace DegC Actual | Avg,2035.0,
Zone 2 | Furnace DegC Actual | Min,2035.0,
Zone 2 | Furnace DegC Actual | Max,2035.0,
Zone 2 | Furnace DegC Set | Avg,2035.0,
Zone 2 | Furnace DegC Set | Min,2035.0,
Zone 2 | Furnace DegC Set | Max,2035.0,
Zone 2 | Fibre Length | Avg,2.331,
Zone 2 | Fibre Length | Min,2.085,
Zone 2 | Fibre Length | Max,2.577,
Zone 2 | Coated Inner Diameter | Avg,167.0,
Zone 2 | Coated Inner Diameter | Min,167.0,
Zone 2 | Coated Inner Diameter | Max,167.0,
Zone 2 | Coated Outer Diameter | Avg,260.0,
Zone 2 | Coated Outer Diameter | Min,260.0,
Zone 2 | Coated Outer Diameter | Max,260.0,
Zone 2 | Pf Process Position | Avg,81.89500000000001,
Zone 2 | Pf Process Position | Min,81.62,
Zone 2 | Pf Process Position | Max,82.17,
Good Zone 2 (km from end) Start,0.027000000000000135,km
Good Zone 2 (km from end) End,0.5190000000000001,km
Good Zone 2 Length,0.492,km
Good Zone 2 Fibre Length Min,2.085,km
Good Zone 2 Fibre Length Max,2.577,km
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),2.604,km
Zone 1 | Fiber Length | Min,1.002,km
Zone 1 | Fiber Length | Max,1.493,km
Zone 2 | Fiber Length | Min,2.085,km
