Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,Check_map_TM,
Order__Draw Date,2025-08-20 10:23:21.067784,
Order__Order Index,,
Order__Preform Number,Check_map_TM,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),0.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,Coating_OF_136,
Order__Main Coating Temperature (°C),25.0,°C
Order__Secondary Coating Temperature (°C),25.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-08-20 10:23:21.067784,
Process__Preform Diameter,,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,0.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),0.0,µm
Process__Second Coating Diameter (Theoretical),0.0,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,Coating_OF_136,
Process__Primary Coating Temperature,25.0,°C
Process__Secondary Coating Temperature,25.0,°C
Process__Primary Die Diameter,110,µm
Process__Secondary Die Diameter,110,µm
Process__Primary Die Name,Die_110,
Process__Secondary Die Name,Die_110,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,,
Process__Increment TF Value,,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-08-20 10:23:21.067784,
Dashboard Log File,Pre_T_20_12082025_121637.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-12-08 11:57:33.812000,index/label
Zone 1 | End,2025-12-08 12:06:29.812000,index/label
Zone 1 | Bare Fibre Diameter | Avg,51.91,µm
Zone 1 | Bare Fibre Diameter | Max,66.3,µm
Zone 1 | Bare Fibre Diameter | Min,39.7,µm
Zone 1 | Capstan Speed | Avg,9.47,m/min
Zone 1 | Capstan Speed | Max,16.03,m/min
Zone 1 | Capstan Speed | Min,4.51,m/min
Zone 1 | Coated Inner Diameter | Avg,96.12,µm
Zone 1 | Coated Inner Diameter | Max,111.7,µm
Zone 1 | Coated Inner Diameter | Min,86.4,µm
Zone 1 | Coated Outer Diameter | Avg,118.8,µm
Zone 1 | Coated Outer Diameter | Max,133.1,µm
Zone 1 | Coated Outer Diameter | Min,108.5,µm
Zone 1 | Furnace DegC Actual | Avg,2220.0,C
Zone 1 | Furnace DegC Actual | Max,2220.9,C
Zone 1 | Furnace DegC Actual | Min,2219.56,C
Zone 1 | Tension N | Avg,-0.03,g
Zone 1 | Tension N | Max,0.05,g
Zone 1 | Tension N | Min,-0.11,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),0.24,km
Zone 1 | Fiber Length | Min,0.04,km
Zone 1 | Fiber Length | Max,0.13,km
,,
—,—,
CUT/SAVE Plan Source,Check_map_TM.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.24,km
Fiber Length Min (log),,km
Fiber Length Max (log),0.24,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,0.11,km
Good Zone 1 (km from end) End,0.2,km
Good Zone 1 Length,0.09,km
Good Zone 1 Fibre Length Min,0.04,km
Good Zone 1 Fibre Length Max,0.13,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.11,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.08,km
T&M Step 2 Zone,Good Zone 1,
Total Saved Length,0.08,km
Total Cut Length,0.11,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
