Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,Martin_2nd_d,
Order__Draw Date,2025-07-16 08:36:56.739980,
Order__Order Index,,
Order__Preform Number,Martin_2nd_d,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),37.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-07-16 08:36:56.739980,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),161.95878089687855,µm
Process__Second Coating Diameter (Theoretical),231.96861252800534,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,37.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,202,µm
Process__Secondary Die Diameter,310,µm
Process__Primary Die Name,Die_202,
Process__Secondary Die Name,Die_310,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.3,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-07-16 08:36:56.739980,
Dashboard Log File,martin_sd_16072025_105043.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-07-16 10:36:04.449000,index/label
Zone 1 | End,2025-07-16 10:41:02.449000,index/label
Zone 1 | Bare Fibre Diameter | Avg,125.00338939084843,µm
Zone 1 | Bare Fibre Diameter | Max,125.5,µm
Zone 1 | Bare Fibre Diameter | Min,124.5,µm
Zone 1 | Capstan Speed | Avg,7.564474315966588,m/min
Zone 1 | Capstan Speed | Max,7.68000030517578,m/min
Zone 1 | Capstan Speed | Min,7.48799991607666,m/min
Zone 1 | Coated Inner Diameter | Avg,173.0033892615367,µm
Zone 1 | Coated Inner Diameter | Max,173.300003051758,µm
Zone 1 | Coated Inner Diameter | Min,172.600006103516,µm
Zone 1 | Coated Outer Diameter | Avg,248.99321992518546,µm
Zone 1 | Coated Outer Diameter | Max,249.699996948242,µm
Zone 1 | Coated Outer Diameter | Min,248.400009155273,µm
Zone 1 | Furnace DegC Actual | Avg,2099.9451552568903,C
Zone 1 | Furnace DegC Actual | Max,2100.63745117188,C
Zone 1 | Furnace DegC Actual | Min,2099.83129882813,C
Zone 1 | Tension N | Avg,19.47391561734475,g
Zone 1 | Tension N | Max,20.9393405914307,g
Zone 1 | Tension N | Min,18.3295307159424,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0.00893077254295349,km
Zone 1 | Fiber Length | Max,0.0454955697059631,km
,,
—,—,
CUT/SAVE Plan Source,Martin_2nd_d.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0.00893077254295349,km
Good Zone 1 Fibre Length Max,0.0454955697059631,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
