Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,Martin_solo_dr,
Order__Draw Date,2025-07-24 08:32:21.244996,
Order__Order Index,,
Order__Preform Number,Martin_solo_dr,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),37.0,°C
Order__Secondary Coating Temperature (°C),35.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-07-24 08:32:21.244996,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),161.95878089687855,µm
Process__Second Coating Diameter (Theoretical),231.9685958457368,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,37.0,°C
Process__Secondary Coating Temperature,35.0,°C
Process__Primary Die Diameter,202,µm
Process__Secondary Die Diameter,310,µm
Process__Primary Die Name,Die_202,
Process__Secondary Die Name,Die_310,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,,
Process__Increment TF Value,,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-07-24 08:32:21.244996,
Dashboard Log File,Martin_solo_dr_24072025_104405.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-07-24 10:35:47.388000,index/label
Zone 1 | End,2025-07-24 10:40:51.388000,index/label
Zone 1 | Bare Fibre Diameter | Avg,124.98360680752114,µm
Zone 1 | Bare Fibre Diameter | Max,125.400001525879,µm
Zone 1 | Bare Fibre Diameter | Min,124.599998474121,µm
Zone 1 | Capstan Speed | Avg,18.03540989610017,m/min
Zone 1 | Capstan Speed | Max,18.1439990997314,m/min
Zone 1 | Capstan Speed | Min,17.9519996643066,m/min
Zone 1 | Coated Inner Diameter | Avg,170.0081959708792,µm
Zone 1 | Coated Inner Diameter | Max,173.600006103516,µm
Zone 1 | Coated Inner Diameter | Min,168.599990844727,µm
Zone 1 | Coated Outer Diameter | Avg,247.30327693751602,µm
Zone 1 | Coated Outer Diameter | Max,247.799987792969,µm
Zone 1 | Coated Outer Diameter | Min,246.900009155273,µm
Zone 1 | Furnace DegC Actual | Avg,2190.0276959528733,C
Zone 1 | Furnace DegC Actual | Max,2190.80322265625,C
Zone 1 | Furnace DegC Actual | Min,2189.19067382813,C
Zone 1 | Tension N | Avg,11.694512945706727,g
Zone 1 | Tension N | Max,13.2920894622803,g
Zone 1 | Tension N | Min,10.5712814331055,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0.480103582143784,km
Zone 1 | Fiber Length | Max,0.570253193378448,km
,,
—,—,
CUT/SAVE Plan Source,Martin_solo_dr.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0.480103582143784,km
Good Zone 1 Fibre Length Max,0.570253193378448,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
