Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0253_oct_t1,
Order__Draw Date,2025-09-02 10:06:00.277396,
Order__Order Index,,
Order__Preform Number,P0253_oct_t1,
Order__Fiber Project,LARA - ELOP,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,Octagonal,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),28.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),8,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),560.0,µm
Order__Secondary Coating Diameter (µm),650.0,µm
Order__Tension (g),60.0,g
Order__Draw Speed (m/min),40.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-09-02 10:06:00.277396,
Process__Preform Diameter,27.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,31.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),469.87359475456776,µm
Process__Second Coating Diameter (Theoretical),551.3171589686438,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,543,µm
Process__Secondary Die Diameter,637,µm
Process__Primary Die Name,Die_543,
Process__Secondary Die Name,Die_637,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.6,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-09-02 10:06:00.277396,
Dashboard Log File,P0253_oct_t1_02092025_170623.csv,
Good Zones Count,8,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-02-09 14:20:07.589000,index/label
Zone 1 | End,2025-02-09 14:28:54.589000,index/label
Zone 1 | Bare Fibre Diameter | Avg,429.65,µm
Zone 1 | Bare Fibre Diameter | Max,430.4,µm
Zone 1 | Bare Fibre Diameter | Min,428.9,µm
Zone 1 | Capstan Speed | Avg,5.73,m/min
Zone 1 | Capstan Speed | Max,5.86,m/min
Zone 1 | Capstan Speed | Min,5.66,m/min
Zone 1 | Coated Inner Diameter | Avg,491.07,µm
Zone 1 | Coated Inner Diameter | Max,491.5,µm
Zone 1 | Coated Inner Diameter | Min,490.5,µm
Zone 1 | Coated Outer Diameter | Avg,573.03,µm
Zone 1 | Coated Outer Diameter | Max,574.0,µm
Zone 1 | Coated Outer Diameter | Min,572.1,µm
Zone 1 | Furnace DegC Actual | Avg,2049.99,C
Zone 1 | Furnace DegC Actual | Max,2050.65,C
Zone 1 | Furnace DegC Actual | Min,2049.31,C
Zone 1 | Tension N | Avg,61.34,g
Zone 1 | Tension N | Max,62.79,g
Zone 1 | Tension N | Min,60.31,g
Zone 2 | Start,2025-02-09 14:34:01.589000,index/label
