Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0343_OCT,
Order__Draw Date,2025-08-20 08:27:47.072870,
Order__Order Index,,
Order__Preform Number,P0343_OCT,
Order__Fiber Project,LARA - ELOP,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,Octagonal,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),28.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),6,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),560.0,µm
Order__Secondary Coating Diameter (µm),650.0,µm
Order__Tension (g),60.0,g
Order__Draw Speed (m/min),40.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-08-20 08:27:47.072870,
Process__Preform Diameter,,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),469.87359475456776,µm
Process__Second Coating Diameter (Theoretical),551.3171589686438,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,543,µm
Process__Secondary Die Diameter,637,µm
Process__Primary Die Name,Die_543,
Process__Secondary Die Name,Die_637,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,,
Process__Increment TF Value,,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-08-20 08:27:47.072870,
Dashboard Log File,P0343_OCT_20082025_114906.csv,
Good Zones Count,6,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-08-20 11:43:51.716000,index/label
Zone 1 | End,2025-08-20 11:46:05.716000,index/label
Zone 1 | Bare Fibre Diameter | Avg,421.45,µm
Zone 1 | Bare Fibre Diameter | Max,422.9,µm
Zone 1 | Bare Fibre Diameter | Min,420.3,µm
Zone 1 | Capstan Speed | Avg,64.02,m/min
Zone 1 | Capstan Speed | Max,68.64,m/min
Zone 1 | Capstan Speed | Min,60.48,m/min
Zone 1 | Coated Inner Diameter | Avg,454.42,µm
Zone 1 | Coated Inner Diameter | Max,458.6,µm
Zone 1 | Coated Inner Diameter | Min,451.4,µm
Zone 1 | Coated Outer Diameter | Avg,515.37,µm
Zone 1 | Coated Outer Diameter | Max,521.1,µm
Zone 1 | Coated Outer Diameter | Min,506.9,µm
Zone 1 | Furnace DegC Actual | Avg,2279.98,C
Zone 1 | Furnace DegC Actual | Max,2280.3,C
Zone 1 | Furnace DegC Actual | Min,2279.36,C
Zone 1 | Tension N | Avg,52.13,g
Zone 1 | Tension N | Max,58.16,g
Zone 1 | Tension N | Min,45.74,g
Zone 2 | Start,2025-08-20 11:37:02.716000,index/label
Zone 2 | End,2025-08-20 11:39:06.716000,index/label
Zone 2 | Bare Fibre Diameter | Avg,421.49,µm
Zone 2 | Bare Fibre Diameter | Max,422.9,µm
Zone 2 | Bare Fibre Diameter | Min,420.8,µm
Zone 2 | Capstan Speed | Avg,41.17,m/min
Zone 2 | Capstan Speed | Max,41.95,m/min
Zone 2 | Capstan Speed | Min,39.46,m/min
Zone 2 | Coated Inner Diameter | Avg,479.22,µm
Zone 2 | Coated Inner Diameter | Max,482.5,µm
Zone 2 | Coated Inner Diameter | Min,475.7,µm
Zone 2 | Coated Outer Diameter | Avg,554.25,µm
Zone 2 | Coated Outer Diameter | Max,557.3,µm
Zone 2 | Coated Outer Diameter | Min,552.0,µm
Zone 2 | Furnace DegC Actual | Avg,2220.06,C
Zone 2 | Furnace DegC Actual | Max,2220.77,C
Zone 2 | Furnace DegC Actual | Min,2219.29,C
Zone 2 | Tension N | Avg,57.58,g
Zone 2 | Tension N | Max,60.16,g
Zone 2 | Tension N | Min,54.77,g
Zone 3 | Start,2025-08-20 11:31:57.716000,index/label
Zone 3 | End,2025-08-20 11:33:04.716000,index/label
Zone 3 | Bare Fibre Diameter | Avg,421.15,µm
Zone 3 | Bare Fibre Diameter | Max,421.6,µm
Zone 3 | Bare Fibre Diameter | Min,420.6,µm
Zone 3 | Capstan Speed | Avg,28.19,m/min
Zone 3 | Capstan Speed | Max,28.32,m/min
Zone 3 | Capstan Speed | Min,27.84,m/min
Zone 3 | Coated Inner Diameter | Avg,491.52,µm
Zone 3 | Coated Inner Diameter | Max,492.0,µm
Zone 3 | Coated Inner Diameter | Min,491.2,µm
Zone 3 | Coated Outer Diameter | Avg,564.2,µm
Zone 3 | Coated Outer Diameter | Max,565.0,µm
Zone 3 | Coated Outer Diameter | Min,562.9,µm
Zone 3 | Furnace DegC Actual | Avg,2179.84,C
Zone 3 | Furnace DegC Actual | Max,2180.73,C
Zone 3 | Furnace DegC Actual | Min,2179.38,C
Zone 3 | Tension N | Avg,56.49,g
Zone 3 | Tension N | Max,58.3,g
Zone 3 | Tension N | Min,54.28,g
Zone 4 | Start,2025-08-20 11:27:30.716000,index/label
Zone 4 | End,2025-08-20 11:29:44.716000,index/label
Zone 4 | Bare Fibre Diameter | Avg,420.8,µm
Zone 4 | Bare Fibre Diameter | Max,421.4,µm
Zone 4 | Bare Fibre Diameter | Min,420.1,µm
