Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0460_1550_CIVAN,
Order__Draw Date,2025-08-10 10:52:16.719254,
Order__Order Index,,
Order__Preform Number,P0460_1550_CIVAN,
Order__Fiber Project,CIVAN 1550,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),3,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-08-10 10:52:16.719254,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,38.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),161.95878355564466,µm
Process__Second Coating Diameter (Theoretical),231.96861403111058,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,202,µm
Process__Secondary Die Diameter,310,µm
Process__Primary Die Name,Die_202,
Process__Secondary Die Name,Die_310,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.27,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-08-10 10:52:16.719254,
Dashboard Log File,1550_P0460_07082025_182953.csv,
Good Zones Count,3,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-07-08 11:32:39.750000,index/label
Zone 1 | End,2025-07-08 13:07:11.750000,index/label
Zone 1 | Bare Fibre Diameter | Avg,125.00511456713264,µm
Zone 1 | Bare Fibre Diameter | Max,126.0,µm
Zone 1 | Bare Fibre Diameter | Min,124.0,µm
Zone 1 | Capstan Speed | Avg,18.043597914344208,m/min
Zone 1 | Capstan Speed | Max,19.1040000915527,m/min
Zone 1 | Capstan Speed | Min,17.0879993438721,m/min
Zone 1 | Coated Inner Diameter | Avg,165.92636754273104,µm
Zone 1 | Coated Inner Diameter | Max,167.5,µm
Zone 1 | Coated Inner Diameter | Min,165.300003051758,µm
Zone 1 | Coated Outer Diameter | Avg,245.06119880474435,µm
Zone 1 | Coated Outer Diameter | Max,246.199996948242,µm
Zone 1 | Coated Outer Diameter | Min,244.100006103516,µm
Zone 1 | Furnace DegC Actual | Avg,2199.4024501040312,C
Zone 1 | Furnace DegC Actual | Max,2200.88134765625,C
Zone 1 | Furnace DegC Actual | Min,2198.0595703125,C
Zone 1 | Tension N | Avg,10.47449935765073,g
Zone 1 | Tension N | Max,12.3305568695068,g
Zone 1 | Tension N | Min,8.62719249725342,g
Zone 2 | Start,2025-07-08 13:10:17.750000,index/label
Zone 2 | End,2025-07-08 17:22:06.750000,index/label
Zone 2 | Bare Fibre Diameter | Avg,124.99549816476316,µm
Zone 2 | Bare Fibre Diameter | Max,126.699996948242,µm
Zone 2 | Bare Fibre Diameter | Min,123.699996948242,µm
Zone 2 | Capstan Speed | Avg,17.84888196804396,m/min
Zone 2 | Capstan Speed | Max,18.8159999847412,m/min
Zone 2 | Capstan Speed | Min,16.7040004730225,m/min
Zone 2 | Coated Inner Diameter | Avg,165.78656230119628,µm
Zone 2 | Coated Inner Diameter | Max,170.100006103516,µm
