Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0509_p1,
Order__Draw Date,2025-09-08 08:42:03.142399,
Order__Order Index,,
Order__Preform Number,P0509_p1,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),4,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-09-08 08:42:03.142399,
Process__Preform Diameter,24.5,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),469.87359475456776,µm
Process__Second Coating Diameter (Theoretical),551.3171589686438,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,543,µm
Process__Secondary Die Diameter,637,µm
Process__Primary Die Name,Die_543,
Process__Secondary Die Name,Die_637,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.62,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-09-08 08:42:03.142399,
Dashboard Log File,P0509_p1_08092025_154346.csv,
Good Zones Count,4,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-08-09 13:40:03.650000,index/label
Zone 1 | End,2025-08-09 14:16:27.650000,index/label
Zone 1 | Bare Fibre Diameter | Avg,418.05,µm
Zone 1 | Bare Fibre Diameter | Max,419.1,µm
Zone 1 | Bare Fibre Diameter | Min,416.9,µm
Zone 1 | Capstan Speed | Avg,6.55,m/min
Zone 1 | Capstan Speed | Max,6.62,m/min
Zone 1 | Capstan Speed | Min,6.43,m/min
Zone 1 | Coated Inner Diameter | Avg,492.21,µm
Zone 1 | Coated Inner Diameter | Max,492.8,µm
Zone 1 | Coated Inner Diameter | Min,491.6,µm
Zone 1 | Coated Outer Diameter | Avg,576.95,µm
Zone 1 | Coated Outer Diameter | Max,578.4,µm
Zone 1 | Coated Outer Diameter | Min,575.7,µm
Zone 1 | Furnace DegC Actual | Avg,2055.0,C
Zone 1 | Furnace DegC Actual | Max,2055.76,C
Zone 1 | Furnace DegC Actual | Min,2054.14,C
Zone 1 | Tension N | Avg,67.22,g
Zone 1 | Tension N | Max,69.05,g
Zone 1 | Tension N | Min,65.84,g
Zone 2 | Start,2025-08-09 14:25:51.650000,index/label
Zone 2 | End,2025-08-09 14:55:40.650000,index/label
Zone 2 | Bare Fibre Diameter | Avg,418.41,µm
Zone 2 | Bare Fibre Diameter | Max,419.5,µm
Zone 2 | Bare Fibre Diameter | Min,417.6,µm
Zone 2 | Capstan Speed | Avg,7.41,m/min
Zone 2 | Capstan Speed | Max,7.49,m/min
Zone 2 | Capstan Speed | Min,7.3,m/min
Zone 2 | Coated Inner Diameter | Avg,492.95,µm
Zone 2 | Coated Inner Diameter | Max,493.4,µm
Zone 2 | Coated Inner Diameter | Min,492.5,µm
Zone 2 | Coated Outer Diameter | Avg,576.64,µm
Zone 2 | Coated Outer Diameter | Max,578.0,µm
Zone 2 | Coated Outer Diameter | Min,574.8,µm
Zone 2 | Furnace DegC Actual | Avg,2065.0,C
Zone 2 | Furnace DegC Actual | Max,2066.37,C
Zone 2 | Furnace DegC Actual | Min,2064.22,C
Zone 2 | Tension N | Avg,65.01,g
Zone 2 | Tension N | Max,66.69,g
Zone 2 | Tension N | Min,63.89,g
Zone 3 | Start,2025-08-09 15:17:02.650000,index/label
Zone 3 | End,2025-08-09 15:40:17.650000,index/label
Zone 3 | Bare Fibre Diameter | Avg,418.2,µm
Zone 3 | Bare Fibre Diameter | Max,420.6,µm
Zone 3 | Bare Fibre Diameter | Min,417.5,µm
Zone 3 | Capstan Speed | Avg,10.04,m/min
Zone 3 | Capstan Speed | Max,10.18,m/min
Zone 3 | Capstan Speed | Min,9.98,m/min
Zone 3 | Coated Inner Diameter | Avg,493.81,µm
Zone 3 | Coated Inner Diameter | Max,494.2,µm
Zone 3 | Coated Inner Diameter | Min,493.2,µm
Zone 3 | Coated Outer Diameter | Avg,573.12,µm
Zone 3 | Coated Outer Diameter | Max,574.6,µm
Zone 3 | Coated Outer Diameter | Min,571.1,µm
Zone 3 | Furnace DegC Actual | Avg,2070.01,C
Zone 3 | Furnace DegC Actual | Max,2070.81,C
Zone 3 | Furnace DegC Actual | Min,2069.19,C
Zone 3 | Tension N | Avg,70.8,g
Zone 3 | Tension N | Max,72.67,g
Zone 3 | Tension N | Min,68.73,g
Zone 4 | Start,2025-08-09 13:40:03.650000,index/label
Zone 4 | End,2025-08-09 15:40:17.650000,index/label
Zone 4 | Bare Fibre Diameter | Avg,418.55,µm
Zone 4 | Bare Fibre Diameter | Max,423.5,µm
Zone 4 | Bare Fibre Diameter | Min,415.8,µm
Zone 4 | Capstan Speed | Avg,7.88,m/min
Zone 4 | Capstan Speed | Max,10.75,m/min
Zone 4 | Capstan Speed | Min,6.24,m/min
Zone 4 | Coated Inner Diameter | Avg,492.96,µm
Zone 4 | Coated Inner Diameter | Max,494.5,µm
Zone 4 | Coated Inner Diameter | Min,490.6,µm
Zone 4 | Coated Outer Diameter | Avg,575.86,µm
Zone 4 | Coated Outer Diameter | Max,578.4,µm
Zone 4 | Coated Outer Diameter | Min,571.1,µm
Zone 4 | Furnace DegC Actual | Avg,2063.62,C
Zone 4 | Furnace DegC Actual | Max,2070.81,C
Zone 4 | Furnace DegC Actual | Min,2054.14,C
Zone 4 | Tension N | Avg,66.31,g
Zone 4 | Tension N | Max,72.67,g
Zone 4 | Tension N | Min,54.45,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
