Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0528JS1J,
Order__Draw Date,2025-11-17 12:30:45.883982,
Order__Order Index,,
Order__Preform Number,P0528JS1J,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),36.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-11-17 12:30:45.883982,
Process__Preform Diameter,26.5,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,31.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),469.85052338273306,µm
Process__Second Coating Diameter (Theoretical),551.3049883781413,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,36.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,543,µm
Process__Secondary Die Diameter,637,µm
Process__Primary Die Name,Die_543,
Process__Secondary Die Name,Die_637,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.62,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-11-17 12:30:45.883982,
Dashboard Log File,P0528JS1J_17112025_125716.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-11-17 11:13:26.572000,index/label
Zone 1 | End,2025-11-17 12:57:06.610000,index/label
Zone 1 | Bare Fibre Diameter | Avg,426.51,µm
Zone 1 | Bare Fibre Diameter | Max,430.4,µm
Zone 1 | Bare Fibre Diameter | Min,422.0,µm
Zone 1 | Capstan Speed | Avg,4.99,m/min
Zone 1 | Capstan Speed | Max,9.98,m/min
Zone 1 | Capstan Speed | Min,0.0,m/min
Zone 1 | Coated Inner Diameter | Avg,492.01,µm
Zone 1 | Coated Inner Diameter | Max,500.3,µm
Zone 1 | Coated Inner Diameter | Min,0.0,µm
Zone 1 | Coated Outer Diameter | Avg,581.33,µm
Zone 1 | Coated Outer Diameter | Max,601.4,µm
Zone 1 | Coated Outer Diameter | Min,576.2,µm
Zone 1 | Furnace DegC Actual | Avg,2062.38,C
Zone 1 | Furnace DegC Actual | Max,2066.77,C
Zone 1 | Furnace DegC Actual | Min,1710.55,C
Zone 1 | Tension N | Avg,56.89,g
Zone 1 | Tension N | Max,60.26,g
Zone 1 | Tension N | Min,-0.51,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),0.52,km
Zone 1 | Fiber Length | Min,0,km
Zone 1 | Fiber Length | Max,0.52,km
,,
—,—,
CUT/SAVE Plan Source,P0528JS1J.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.52,km
Fiber Length Min (log),,km
Fiber Length Max (log),0.52,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,0,km
Good Zone 1 (km from end) End,0.52,km
Good Zone 1 Length,0.52,km
Good Zone 1 Fibre Length Min,0,km
Good Zone 1 Fibre Length Max,0.52,km
T&M Step 1 Action,SAVE,
T&M Step 1 Length,0.52,km
T&M Step 1 Zone,Good Zone 1,
Total Saved Length,0.52,km
Total Cut Length,0,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
