Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0529_js1j,
Order__Draw Date,2025-11-16 11:01:22.827159,
Order__Order Index,,
Order__Preform Number,P0529_js1j,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),36.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-11-16 11:01:22.827159,
Process__Preform Diameter,26.5,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,31.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),469.85052338273306,µm
Process__Second Coating Diameter (Theoretical),551.3049883781413,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,36.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,543,µm
Process__Secondary Die Diameter,637,µm
Process__Primary Die Name,Die_543,
Process__Secondary Die Name,Die_637,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.62,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-11-16 11:01:22.827159,
Dashboard Log File,P0529_js1j_16112025_121030.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-11-16 10:34:16.565000,index/label
Zone 1 | End,2025-11-16 12:10:11.586000,index/label
Zone 1 | Bare Fibre Diameter | Avg,418.98,µm
Zone 1 | Bare Fibre Diameter | Max,427.2,µm
Zone 1 | Bare Fibre Diameter | Min,417.5,µm
Zone 1 | Capstan Speed | Avg,5.68,m/min
Zone 1 | Capstan Speed | Max,8.83,m/min
Zone 1 | Capstan Speed | Min,0.0,m/min
Zone 1 | Coated Inner Diameter | Avg,488.19,µm
Zone 1 | Coated Inner Diameter | Max,501.1,µm
Zone 1 | Coated Inner Diameter | Min,0.0,µm
Zone 1 | Coated Outer Diameter | Avg,581.93,µm
Zone 1 | Coated Outer Diameter | Max,583.3,µm
Zone 1 | Coated Outer Diameter | Min,574.1,µm
Zone 1 | Furnace DegC Actual | Avg,2058.41,C
Zone 1 | Furnace DegC Actual | Max,2066.24,C
Zone 1 | Furnace DegC Actual | Min,1559.38,C
Zone 1 | Tension N | Avg,55.27,g
Zone 1 | Tension N | Max,59.26,g
Zone 1 | Tension N | Min,-0.43,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),0.55,km
Zone 1 | Fiber Length | Min,0.01,km
Zone 1 | Fiber Length | Max,0.55,km
,,
—,—,
CUT/SAVE Plan Source,P0529_js1j.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.55,km
Fiber Length Min (log),,km
Fiber Length Max (log),0.55,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,0,km
Good Zone 1 (km from end) End,0.54,km
Good Zone 1 Length,0.54,km
Good Zone 1 Fibre Length Min,0.01,km
Good Zone 1 Fibre Length Max,0.55,km
T&M Step 1 Action,SAVE,
T&M Step 1 Length,0.54,km
T&M Step 1 Zone,Good Zone 1,
Total Saved Length,0.54,km
Total Cut Length,0,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
