Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P_1550_1st,
Order__Draw Date,2025-07-01 08:17:13.123992,
Order__Order Index,,
Order__Preform Number,P_1550_1st,
Order__Fiber Project,CIVAN 1550,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-07-01 08:17:13.123992,
Process__Preform Diameter,28.2,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,32.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),161.95878355564466,µm
Process__Second Coating Diameter (Theoretical),231.96861403111058,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,202,µm
Process__Secondary Die Diameter,310,µm
Process__Primary Die Name,Die_202,
Process__Secondary Die Name,Die_310,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.27,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-07-01 08:17:13.123992,
Dashboard Log File,P_1550_1_01072025_142336.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-01-07 11:36:04.695000,index/label
Zone 1 | End,2025-01-07 14:01:29.695000,index/label
Zone 1 | Bare Fibre Diameter | Avg,125.01306563762675,µm
Zone 1 | Bare Fibre Diameter | Max,125.599998474121,µm
Zone 1 | Bare Fibre Diameter | Min,124.400001525879,µm
Zone 1 | Capstan Speed | Avg,47.40606537521056,m/min
Zone 1 | Capstan Speed | Max,97.7280044555664,m/min
Zone 1 | Capstan Speed | Min,38.4960021972656,m/min
Zone 1 | Coated Inner Diameter | Avg,153.38080319292567,µm
Zone 1 | Coated Inner Diameter | Max,167.899993896484,µm
Zone 1 | Coated Inner Diameter | Min,142.699996948242,µm
Zone 1 | Coated Outer Diameter | Avg,237.92498577303735,µm
Zone 1 | Coated Outer Diameter | Max,245.199996948242,µm
Zone 1 | Coated Outer Diameter | Min,230.699996948242,µm
Zone 1 | Furnace DegC Actual | Avg,2115.913926508775,C
Zone 1 | Furnace DegC Actual | Max,2250.734375,C
Zone 1 | Furnace DegC Actual | Min,2098.21875,C
Zone 1 | Tension N | Avg,40.30632782310333,g
Zone 1 | Tension N | Max,47.7271881103516,g
Zone 1 | Tension N | Min,26.0853805541992,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0.329512417316437,km
Zone 1 | Fiber Length | Max,7.2193078994751,km
,,
—,—,
CUT/SAVE Plan Source,P_1550_1st.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0.329512417316437,km
Good Zone 1 Fibre Length Max,7.2193078994751,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
