Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,SBS_1UV,
Order__Draw Date,2026-01-18 13:21:42.752996,
Order__Order Index,,
Order__Preform Number,SBS_1UV,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),4,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),45.0,°C
Order__Secondary Coating Temperature (°C),36.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-01-18 13:21:42.752996,
Process__Preform Diameter,16.5,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,23.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),93.03860838528465,µm
Process__Second Coating Diameter (Theoretical),111.00389351917154,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,45.0,°C
Process__Secondary Coating Temperature,36.0,°C
Process__Primary Die Diameter,160,µm
Process__Secondary Die Diameter,130,µm
Process__Primary Die Name,Die_160,
Process__Secondary Die Name,Die_130,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.13,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-01-18 13:21:42.752996,
Dashboard Log File,SBS_1UV_18012026_162427.csv,
Good Zones Count,4,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2026-01-18 15:23:21.720000,index/label
Zone 1 | End,2026-01-18 15:34:37.720000,index/label
Zone 1 | Bare Fibre Diameter | Avg,40.0,µm
Zone 1 | Bare Fibre Diameter | Max,40.4,µm
Zone 1 | Bare Fibre Diameter | Min,39.6,µm
Zone 1 | Capstan Speed | Avg,38.65,m/min
Zone 1 | Capstan Speed | Max,39.84,m/min
Zone 1 | Capstan Speed | Min,37.25,m/min
Zone 1 | Coated Inner Diameter | Avg,100.12,µm
Zone 1 | Coated Inner Diameter | Max,100.5,µm
Zone 1 | Coated Inner Diameter | Min,99.9,µm
Zone 1 | Coated Outer Diameter | Avg,117.9,µm
Zone 1 | Coated Outer Diameter | Max,118.6,µm
Zone 1 | Coated Outer Diameter | Min,117.2,µm
Zone 1 | Furnace DegC Actual | Avg,2050.07,C
Zone 1 | Furnace DegC Actual | Max,2050.92,C
Zone 1 | Furnace DegC Actual | Min,2049.04,C
Zone 1 | Tension N | Avg,-0.01,g
Zone 1 | Tension N | Max,0.04,g
Zone 1 | Tension N | Min,-0.06,g
Zone 2 | Start,2026-01-18 15:40:28.720000,index/label
Zone 2 | End,2026-01-18 15:49:37.720000,index/label
Zone 2 | Bare Fibre Diameter | Avg,39.99,µm
Zone 2 | Bare Fibre Diameter | Max,40.4,µm
Zone 2 | Bare Fibre Diameter | Min,39.6,µm
Zone 2 | Capstan Speed | Avg,39.46,m/min
Zone 2 | Capstan Speed | Max,39.84,m/min
Zone 2 | Capstan Speed | Min,39.07,m/min
Zone 2 | Coated Inner Diameter | Avg,100.18,µm
Zone 2 | Coated Inner Diameter | Max,100.5,µm
Zone 2 | Coated Inner Diameter | Min,99.8,µm
Zone 2 | Coated Outer Diameter | Avg,117.87,µm
Zone 2 | Coated Outer Diameter | Max,118.5,µm
Zone 2 | Coated Outer Diameter | Min,116.7,µm
Zone 2 | Furnace DegC Actual | Avg,2049.96,C
Zone 2 | Furnace DegC Actual | Max,2050.52,C
Zone 2 | Furnace DegC Actual | Min,2049.57,C
Zone 2 | Tension N | Avg,-0.05,g
Zone 2 | Tension N | Max,-0.0,g
Zone 2 | Tension N | Min,-0.08,g
Zone 3 | Start,2026-01-18 15:53:36.720000,index/label
Zone 3 | End,2026-01-18 16:04:37.720000,index/label
Zone 3 | Bare Fibre Diameter | Avg,40.0,µm
Zone 3 | Bare Fibre Diameter | Max,40.4,µm
Zone 3 | Bare Fibre Diameter | Min,39.7,µm
Zone 3 | Capstan Speed | Avg,39.12,m/min
Zone 3 | Capstan Speed | Max,39.74,m/min
Zone 3 | Capstan Speed | Min,38.69,m/min
Zone 3 | Coated Inner Diameter | Avg,100.11,µm
Zone 3 | Coated Inner Diameter | Max,100.3,µm
Zone 3 | Coated Inner Diameter | Min,99.7,µm
Zone 3 | Coated Outer Diameter | Avg,117.99,µm
Zone 3 | Coated Outer Diameter | Max,118.6,µm
Zone 3 | Coated Outer Diameter | Min,117.0,µm
Zone 3 | Furnace DegC Actual | Avg,2050.03,C
Zone 3 | Furnace DegC Actual | Max,2050.52,C
Zone 3 | Furnace DegC Actual | Min,2048.9,C
Zone 3 | Tension N | Avg,-0.12,g
Zone 3 | Tension N | Max,-0.07,g
Zone 3 | Tension N | Min,-0.16,g
Zone 4 | Start,2026-01-18 16:10:29.720000,index/label
Zone 4 | End,2026-01-18 16:21:02.720000,index/label
Zone 4 | Bare Fibre Diameter | Avg,39.99,µm
Zone 4 | Bare Fibre Diameter | Max,40.6,µm
Zone 4 | Bare Fibre Diameter | Min,39.6,µm
Zone 4 | Capstan Speed | Avg,38.86,m/min
Zone 4 | Capstan Speed | Max,39.36,m/min
Zone 4 | Capstan Speed | Min,38.5,m/min
Zone 4 | Coated Inner Diameter | Avg,100.21,µm
Zone 4 | Coated Inner Diameter | Max,100.5,µm
