Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,S_1550_pre2,
Order__Draw Date,2025-07-20 08:08:16.834869,
Order__Order Index,,
Order__Preform Number,S_1550_pre2,
Order__Fiber Project,CIVAN 1550,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),2,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),44.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-07-20 08:08:16.834869,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),161.95877942130534,µm
Process__Second Coating Diameter (Theoretical),231.96861169380566,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,44.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,202,µm
Process__Secondary Die Diameter,310,µm
Process__Primary Die Name,Die_202,
Process__Secondary Die Name,Die_310,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.3,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-07-20 08:08:16.834869,
Dashboard Log File,S_1550_pre2_20072025_132203.csv,
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-07-20 11:10:29.344000,index/label
Zone 1 | End,2025-07-20 11:52:27.344000,index/label
Zone 1 | Bare Fibre Diameter | Avg,125.00615060897101,µm
Zone 1 | Bare Fibre Diameter | Max,126.099998474121,µm
Zone 1 | Bare Fibre Diameter | Min,124.5,µm
Zone 1 | Capstan Speed | Avg,19.238095302430406,m/min
Zone 1 | Capstan Speed | Max,23.3279991149902,m/min
Zone 1 | Capstan Speed | Min,17.4720001220703,m/min
Zone 1 | Coated Inner Diameter | Avg,171.1896850949242,µm
Zone 1 | Coated Inner Diameter | Max,172.199996948242,µm
Zone 1 | Coated Inner Diameter | Min,170.699996948242,µm
Zone 1 | Coated Outer Diameter | Avg,248.71269701397614,µm
Zone 1 | Coated Outer Diameter | Max,249.5,µm
Zone 1 | Coated Outer Diameter | Min,248.0,µm
Zone 1 | Furnace DegC Actual | Avg,2169.991777692522,C
Zone 1 | Furnace DegC Actual | Max,2170.64697265625,C
Zone 1 | Furnace DegC Actual | Min,2169.30322265625,C
Zone 1 | Tension N | Avg,11.246538813152013,g
Zone 1 | Tension N | Max,13.979248046875,g
Zone 1 | Tension N | Min,9.44692611694336,g
Zone 2 | Start,2025-07-20 12:56:25.344000,index/label
Zone 2 | End,2025-07-20 13:13:40.344000,index/label
Zone 2 | Bare Fibre Diameter | Avg,124.95942031934065,µm
Zone 2 | Bare Fibre Diameter | Max,125.599998474121,µm
Zone 2 | Bare Fibre Diameter | Min,124.400001525879,µm
Zone 2 | Capstan Speed | Avg,26.112927496721202,m/min
Zone 2 | Capstan Speed | Max,27.1680011749268,m/min
Zone 2 | Capstan Speed | Min,25.1520004272461,m/min
Zone 2 | Coated Inner Diameter | Avg,171.7193251900051,µm
Zone 2 | Coated Inner Diameter | Max,172.0,µm
Zone 2 | Coated Inner Diameter | Min,171.399993896484,µm
Zone 2 | Coated Outer Diameter | Avg,248.32657096236224,µm
Zone 2 | Coated Outer Diameter | Max,249.100006103516,µm
Zone 2 | Coated Outer Diameter | Min,247.5,µm
Zone 2 | Furnace DegC Actual | Avg,2189.9598028947767,C
Zone 2 | Furnace DegC Actual | Max,2191.2060546875,C
Zone 2 | Furnace DegC Actual | Min,2188.921875,C
Zone 2 | Tension N | Avg,12.434483159567423,g
Zone 2 | Tension N | Max,14.0128803253174,g
Zone 2 | Tension N | Min,10.8193111419678,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0.377172946929932,km
Zone 1 | Fiber Length | Max,1.95440804958344,km
Zone 2 | Fiber Length | Min,2.10101580619812,km
Zone 2 | Fiber Length | Max,2.5494749546051,km
,,
—,—,
CUT/SAVE Plan Source,S_1550_pre2.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
