Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,S_1550_prep,
Order__Draw Date,2025-07-17 14:41:09.308831,
Order__Order Index,,
Order__Preform Number,S_1550_prep,
Order__Fiber Project,CIVAN 1550,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),3,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),44.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-07-17 14:41:09.308831,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),161.95877942130534,µm
Process__Second Coating Diameter (Theoretical),231.96861169380566,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,44.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,202,µm
Process__Secondary Die Diameter,310,µm
Process__Primary Die Name,Die_202,
Process__Secondary Die Name,Die_310,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,,
Process__Increment TF Value,,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-07-17 14:41:09.308831,
Dashboard Log File,S_1550_prep_17072025_155852.csv,
Good Zones Count,3,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-07-16 10:36:04.449000,index/label
Zone 1 | End,2025-07-16 10:41:02.449000,index/label
Zone 2 | Start,2025-07-17 14:07:22.466000,index/label
Zone 2 | End,2025-07-17 15:51:47.466000,index/label
Zone 2 | Bare Fibre Diameter | Avg,125.10143531300425,µm
Zone 2 | Bare Fibre Diameter | Max,126.099998474121,µm
Zone 2 | Bare Fibre Diameter | Min,124.400001525879,µm
Zone 2 | Capstan Speed | Avg,17.405090906213157,m/min
Zone 2 | Capstan Speed | Max,27.7439994812012,m/min
Zone 2 | Capstan Speed | Min,3.74399995803833,m/min
Zone 2 | Coated Inner Diameter | Avg,170.3617235636977,µm
Zone 2 | Coated Inner Diameter | Max,172.199996948242,µm
Zone 2 | Coated Inner Diameter | Min,168.100006103516,µm
Zone 2 | Coated Outer Diameter | Avg,246.23141890773744,µm
Zone 2 | Coated Outer Diameter | Max,248.0,µm
Zone 2 | Coated Outer Diameter | Min,244.0,µm
Zone 2 | Furnace DegC Actual | Avg,2155.281538529831,C
Zone 2 | Furnace DegC Actual | Max,2165.67504882813,C
Zone 2 | Furnace DegC Actual | Min,2148.47509765625,C
Zone 2 | Tension N | Avg,14.544166377096465,g
Zone 2 | Tension N | Max,21.3216400146484,g
Zone 2 | Tension N | Min,8.44711685180664,g
Zone 3 | Start,2025-07-17 11:09:39.466000,index/label
Zone 3 | End,2025-07-17 12:44:32.466000,index/label
Zone 3 | Bare Fibre Diameter | Avg,125.07021080379117,µm
Zone 3 | Bare Fibre Diameter | Max,125.800003051758,µm
Zone 3 | Bare Fibre Diameter | Min,124.400001525879,µm
Zone 3 | Capstan Speed | Avg,21.29580330764891,m/min
Zone 3 | Capstan Speed | Max,28.0320014953613,m/min
Zone 3 | Capstan Speed | Min,6.24000024795532,m/min
Zone 3 | Coated Inner Diameter | Avg,138.12188044918443,µm
Zone 3 | Coated Inner Diameter | Max,149.800003051758,µm
Zone 3 | Coated Inner Diameter | Min,128.199996948242,µm
Zone 3 | Coated Outer Diameter | Avg,230.25790901385207,µm
Zone 3 | Coated Outer Diameter | Max,236.900009155273,µm
Zone 3 | Coated Outer Diameter | Min,227.599990844727,µm
Zone 3 | Furnace DegC Actual | Avg,2157.686358245692,C
Zone 3 | Furnace DegC Actual | Max,2160.56884765625,C
Zone 3 | Furnace DegC Actual | Min,2148.87817382813,C
Zone 3 | Tension N | Avg,19.35325187538965,g
