Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T056_BL,
Order__Draw Date,2025-09-18 09:32:17.245323,
Order__Order Index,,
Order__Preform Number,T056_BL,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),2,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),40.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-09-18 09:32:17.245323,
Process__Preform Diameter,17.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,24.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),93.03861242922716,µm
Process__Second Coating Diameter (Theoretical),115.71920843501144,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,40.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,160,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_160,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.129,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-09-18 09:32:17.245323,
Dashboard Log File,T056_BL_18092025_142347.csv,
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-09-18 13:17:18.800000,index/label
Zone 1 | End,2025-09-18 13:25:07.800000,index/label
Zone 1 | Bare Fibre Diameter | Avg,40.01,µm
Zone 1 | Bare Fibre Diameter | Max,40.3,µm
Zone 1 | Bare Fibre Diameter | Min,39.7,µm
Zone 1 | Capstan Speed | Avg,91.11,m/min
Zone 1 | Capstan Speed | Max,91.58,m/min
Zone 1 | Capstan Speed | Min,90.43,m/min
Zone 1 | Coated Inner Diameter | Avg,102.19,µm
Zone 1 | Coated Inner Diameter | Max,102.5,µm
Zone 1 | Coated Inner Diameter | Min,101.8,µm
Zone 1 | Coated Outer Diameter | Avg,120.47,µm
Zone 1 | Coated Outer Diameter | Max,121.0,µm
Zone 1 | Coated Outer Diameter | Min,119.9,µm
Zone 1 | Furnace DegC Actual | Avg,2220.05,C
Zone 1 | Furnace DegC Actual | Max,2220.37,C
Zone 1 | Furnace DegC Actual | Min,2219.42,C
Zone 1 | Tension N | Avg,-0.15,g
Zone 1 | Tension N | Max,-0.11,g
Zone 1 | Tension N | Min,-0.21,g
Zone 2 | Start,2025-09-18 13:48:17.800000,index/label
Zone 2 | End,2025-09-18 14:12:20.800000,index/label
Zone 2 | Bare Fibre Diameter | Avg,40.01,µm
Zone 2 | Bare Fibre Diameter | Max,40.2,µm
Zone 2 | Bare Fibre Diameter | Min,39.6,µm
Zone 2 | Capstan Speed | Avg,122.85,m/min
Zone 2 | Capstan Speed | Max,124.42,m/min
Zone 2 | Capstan Speed | Min,122.02,m/min
Zone 2 | Coated Inner Diameter | Avg,101.3,µm
Zone 2 | Coated Inner Diameter | Max,101.7,µm
Zone 2 | Coated Inner Diameter | Min,100.8,µm
Zone 2 | Coated Outer Diameter | Avg,117.49,µm
Zone 2 | Coated Outer Diameter | Max,118.9,µm
Zone 2 | Coated Outer Diameter | Min,116.8,µm
Zone 2 | Furnace DegC Actual | Avg,2239.97,C
Zone 2 | Furnace DegC Actual | Max,2241.06,C
Zone 2 | Furnace DegC Actual | Min,2239.45,C
Zone 2 | Tension N | Avg,-0.18,g
Zone 2 | Tension N | Max,-0.12,g
Zone 2 | Tension N | Min,-0.24,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),3.21,km
Zone 1 | Fiber Length | Min,0.02,km
Zone 1 | Fiber Length | Max,0.72,km
Zone 2 | Fiber Length | Min,0.08,km
Zone 2 | Fiber Length | Max,3.03,km
,,
—,—,
CUT/SAVE Plan Source,T056_BL.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),3.21,km
Fiber Length Min (log),,km
Fiber Length Max (log),3.21,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,2.49,km
Good Zone 1 (km from end) End,3.19,km
Good Zone 1 Length,0.7,km
Good Zone 1 Fibre Length Min,0.02,km
Good Zone 1 Fibre Length Max,0.72,km
Good Zone 2 (km from end) Start,0.18,km
Good Zone 2 (km from end) End,3.13,km
Good Zone 2 Length,2.95,km
Good Zone 2 Fibre Length Min,0.08,km
Good Zone 2 Fibre Length Max,3.03,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,2.49,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.71,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,2.49,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.71,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.18,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,2.95,km
T&M Step 6 Zone,Good Zone 3,
Total Saved Length,4.37,km
Total Cut Length,5.16,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
