Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T056_BL_2,
Order__Draw Date,2025-09-21 12:27:00.474396,
Order__Order Index,,
Order__Preform Number,T056_BL_2,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),2,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),40.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-09-21 12:27:00.474396,
Process__Preform Diameter,17.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,24.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),93.03861242922716,µm
Process__Second Coating Diameter (Theoretical),111.00389594990236,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,40.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,160,µm
Process__Secondary Die Diameter,130,µm
Process__Primary Die Name,Die_160,
Process__Secondary Die Name,Die_130,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.129,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-09-21 12:27:00.474396,
Dashboard Log File,T056_BL_2_21092025_164521.csv,
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-09-21 16:00:55.801000,index/label
Zone 1 | End,2025-09-21 16:10:37.801000,index/label
Zone 1 | Bare Fibre Diameter | Avg,39.99,µm
Zone 1 | Bare Fibre Diameter | Max,40.3,µm
Zone 1 | Bare Fibre Diameter | Min,39.8,µm
Zone 1 | Capstan Speed | Avg,93.85,m/min
Zone 1 | Capstan Speed | Max,94.66,m/min
Zone 1 | Capstan Speed | Min,93.02,m/min
Zone 1 | Coated Inner Diameter | Avg,101.95,µm
Zone 1 | Coated Inner Diameter | Max,102.3,µm
Zone 1 | Coated Inner Diameter | Min,101.7,µm
Zone 1 | Coated Outer Diameter | Avg,117.5,µm
Zone 1 | Coated Outer Diameter | Max,118.1,µm
Zone 1 | Coated Outer Diameter | Min,116.9,µm
Zone 1 | Furnace DegC Actual | Avg,2220.04,C
Zone 1 | Furnace DegC Actual | Max,2220.5,C
Zone 1 | Furnace DegC Actual | Min,2218.89,C
Zone 1 | Tension N | Avg,-0.14,g
Zone 1 | Tension N | Max,-0.1,g
Zone 1 | Tension N | Min,-0.19,g
Zone 2 | Start,2025-09-21 16:27:20.801000,index/label
Zone 2 | End,2025-09-21 16:41:23.801000,index/label
Zone 2 | Bare Fibre Diameter | Avg,40.0,µm
Zone 2 | Bare Fibre Diameter | Max,40.4,µm
Zone 2 | Bare Fibre Diameter | Min,39.8,µm
Zone 2 | Capstan Speed | Avg,90.21,m/min
Zone 2 | Capstan Speed | Max,91.58,m/min
Zone 2 | Capstan Speed | Min,88.8,m/min
Zone 2 | Coated Inner Diameter | Avg,103.0,µm
Zone 2 | Coated Inner Diameter | Max,103.2,µm
Zone 2 | Coated Inner Diameter | Min,102.7,µm
Zone 2 | Coated Outer Diameter | Avg,116.44,µm
Zone 2 | Coated Outer Diameter | Max,117.0,µm
Zone 2 | Coated Outer Diameter | Min,116.0,µm
Zone 2 | Furnace DegC Actual | Avg,2219.98,C
Zone 2 | Furnace DegC Actual | Max,2221.04,C
Zone 2 | Furnace DegC Actual | Min,2219.02,C
Zone 2 | Tension N | Avg,-0.14,g
Zone 2 | Tension N | Max,-0.07,g
Zone 2 | Tension N | Min,-0.2,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),4.05,km
Zone 1 | Fiber Length | Min,0.09,km
Zone 1 | Fiber Length | Max,0.98,km
Zone 2 | Fiber Length | Min,2.54,km
Zone 2 | Fiber Length | Max,3.79,km
,,
—,—,
CUT/SAVE Plan Source,T056_BL_2.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),4.05,km
Fiber Length Min (log),,km
Fiber Length Max (log),4.05,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,3.07,km
Good Zone 1 (km from end) End,3.96,km
Good Zone 1 Length,0.89,km
Good Zone 1 Fibre Length Min,0.09,km
Good Zone 1 Fibre Length Max,0.98,km
Good Zone 2 (km from end) Start,0.26,km
Good Zone 2 (km from end) End,1.51,km
Good Zone 2 Length,1.25,km
Good Zone 2 Fibre Length Min,2.54,km
Good Zone 2 Fibre Length Max,3.79,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,3.07,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.89,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.26,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,1.26,km
T&M Step 4 Zone,Good Zone 2,
Total Saved Length,2.15,km
Total Cut Length,3.33,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
