Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T058_NC_2,
Order__Draw Date,2025-07-14 08:28:11.229505,
Order__Order Index,,
Order__Preform Number,T058_NC_2,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),48.0,°C
Order__Secondary Coating Temperature (°C),44.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-07-14 08:28:11.229505,
Process__Preform Diameter,17.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,23.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),88.91658347473916,µm
Process__Second Coating Diameter (Theoretical),113.4913059981151,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,48.0,°C
Process__Secondary Coating Temperature,44.0,°C
Process__Primary Die Diameter,150,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_150,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.14,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-07-14 08:28:11.229505,
Dashboard Log File,T058_NC_2_14072025_154838.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-07-14 13:09:55.173000,index/label
Zone 1 | End,2025-07-14 13:13:01.173000,index/label
Zone 1 | Bare Fibre Diameter | Avg,39.88918892112938,µm
Zone 1 | Bare Fibre Diameter | Max,40.2999992370605,µm
Zone 1 | Bare Fibre Diameter | Min,39.5999984741211,µm
Zone 1 | Capstan Speed | Avg,8.201513548155088,m/min
Zone 1 | Capstan Speed | Max,8.73600006103516,m/min
Zone 1 | Capstan Speed | Min,0.0,m/min
Zone 1 | Coated Inner Diameter | Avg,71.05405508505332,µm
Zone 1 | Coated Inner Diameter | Max,100.0,µm
Zone 1 | Coated Inner Diameter | Min,0.0,µm
Zone 1 | Coated Outer Diameter | Avg,113.74864840024226,µm
Zone 1 | Coated Outer Diameter | Max,139.699996948242,µm
Zone 1 | Coated Outer Diameter | Min,0.0999999940395355,µm
Zone 1 | Furnace DegC Actual | Avg,2170.0222761824325,C
Zone 1 | Furnace DegC Actual | Max,2170.5126953125,C
Zone 1 | Furnace DegC Actual | Min,2169.1689453125,C
Zone 1 | Tension N | Avg,0.0208322421924488,g
Zone 1 | Tension N | Max,0.0484895706176758,g
Zone 1 | Tension N | Min,-0.0173702239990234,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0.00197200477123261,km
Zone 1 | Fiber Length | Max,0.0269372016191483,km
,,
—,—,
CUT/SAVE Plan Source,T058_NC_2.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0.00197200477123261,km
Good Zone 1 Fibre Length Max,0.0269372016191483,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
