Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T068_Avsl,
Order__Draw Date,2025-12-30 11:50:03.745692,
Order__Order Index,,
Order__Preform Number,T068_Avsl,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),5,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),45.0,°C
Order__Secondary Coating Temperature (°C),36.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-12-30 11:50:03.745692,
Process__Preform Diameter,13.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,20.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),93.03860838528465,µm
Process__Second Coating Diameter (Theoretical),111.00389351917154,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,45.0,°C
Process__Secondary Coating Temperature,36.0,°C
Process__Primary Die Diameter,160,µm
Process__Secondary Die Diameter,130,µm
Process__Primary Die Name,Die_160,
Process__Secondary Die Name,Die_130,
Process__Coating Die Selection Mode,Auto,
