Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T068_Avsl2,
Order__Draw Date,2026-01-07 10:11:14.798435,
Order__Order Index,,
Order__Preform Number,T068_Avsl2,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),6,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),45.0,°C
Order__Secondary Coating Temperature (°C),36.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-01-07 10:11:14.798435,
Process__Preform Diameter,11.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,20.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),93.03860838528465,µm
Process__Second Coating Diameter (Theoretical),111.00389351917154,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,45.0,°C
Process__Secondary Coating Temperature,36.0,°C
Process__Primary Die Diameter,160,µm
Process__Secondary Die Diameter,130,µm
Process__Primary Die Name,Die_160,
Process__Secondary Die Name,Die_130,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.13,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-01-07 10:11:14.798435,
Dashboard Log File,T068_Avsl_07012026_135044.csv,
Good Zones Count,6,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2026-07-01 12:54:23.143000,index/label
Zone 1 | End,2026-07-01 13:01:56.143000,index/label
Zone 1 | Bare Fibre Diameter | Avg,39.94,µm
Zone 1 | Bare Fibre Diameter | Max,40.7,µm
Zone 1 | Bare Fibre Diameter | Min,37.9,µm
Zone 1 | Capstan Speed | Avg,69.73,m/min
Zone 1 | Capstan Speed | Max,71.14,m/min
Zone 1 | Capstan Speed | Min,67.3,m/min
Zone 1 | Coated Inner Diameter | Avg,101.02,µm
Zone 1 | Coated Inner Diameter | Max,101.7,µm
Zone 1 | Coated Inner Diameter | Min,100.6,µm
Zone 1 | Coated Outer Diameter | Avg,118.86,µm
Zone 1 | Coated Outer Diameter | Max,119.6,µm
Zone 1 | Coated Outer Diameter | Min,117.9,µm
Zone 1 | Furnace DegC Actual | Avg,2180.03,C
Zone 1 | Furnace DegC Actual | Max,2180.59,C
Zone 1 | Furnace DegC Actual | Min,2179.25,C
Zone 1 | Tension N | Avg,-0.11,g
Zone 1 | Tension N | Max,-0.07,g
Zone 1 | Tension N | Min,-0.16,g
Zone 2 | Start,2026-07-01 13:03:24.143000,index/label
Zone 2 | End,2026-07-01 13:07:05.143000,index/label
Zone 2 | Bare Fibre Diameter | Avg,40.08,µm
Zone 2 | Bare Fibre Diameter | Max,41.6,µm
Zone 2 | Bare Fibre Diameter | Min,37.6,µm
Zone 2 | Capstan Speed | Avg,67.81,m/min
Zone 2 | Capstan Speed | Max,71.9,m/min
Zone 2 | Capstan Speed | Min,62.5,m/min
Zone 2 | Coated Inner Diameter | Avg,101.59,µm
Zone 2 | Coated Inner Diameter | Max,102.3,µm
Zone 2 | Coated Inner Diameter | Min,101.1,µm
Zone 2 | Coated Outer Diameter | Avg,118.81,µm
Zone 2 | Coated Outer Diameter | Max,119.5,µm
Zone 2 | Coated Outer Diameter | Min,118.2,µm
Zone 2 | Furnace DegC Actual | Avg,2200.15,C
Zone 2 | Furnace DegC Actual | Max,2200.75,C
Zone 2 | Furnace DegC Actual | Min,2199.13,C
Zone 2 | Tension N | Avg,-0.12,g
Zone 2 | Tension N | Max,-0.07,g
Zone 2 | Tension N | Min,-0.16,g
Zone 3 | Start,2026-07-01 13:08:01.143000,index/label
Zone 3 | End,2026-07-01 13:15:56.143000,index/label
Zone 3 | Bare Fibre Diameter | Avg,40.02,µm
Zone 3 | Bare Fibre Diameter | Max,41.8,µm
Zone 3 | Bare Fibre Diameter | Min,38.0,µm
Zone 3 | Capstan Speed | Avg,70.06,m/min
Zone 3 | Capstan Speed | Max,74.4,m/min
Zone 3 | Capstan Speed | Min,64.13,m/min
Zone 3 | Coated Inner Diameter | Avg,101.97,µm
Zone 3 | Coated Inner Diameter | Max,102.4,µm
Zone 3 | Coated Inner Diameter | Min,101.4,µm
Zone 3 | Coated Outer Diameter | Avg,118.89,µm
Zone 3 | Coated Outer Diameter | Max,120.1,µm
Zone 3 | Coated Outer Diameter | Min,118.1,µm
Zone 3 | Furnace DegC Actual | Avg,2220.08,C
Zone 3 | Furnace DegC Actual | Max,2221.31,C
Zone 3 | Furnace DegC Actual | Min,2219.16,C
Zone 3 | Tension N | Avg,-0.12,g
Zone 3 | Tension N | Max,-0.06,g
Zone 3 | Tension N | Min,-0.17,g
Zone 4 | Start,2026-07-01 13:18:30.143000,index/label
Zone 4 | End,2026-07-01 13:28:27.143000,index/label
Zone 4 | Bare Fibre Diameter | Avg,40.05,µm
Zone 4 | Bare Fibre Diameter | Max,41.6,µm
Zone 4 | Bare Fibre Diameter | Min,38.1,µm
Zone 4 | Capstan Speed | Avg,68.27,m/min
Zone 4 | Capstan Speed | Max,71.9,m/min
Zone 4 | Capstan Speed | Min,63.46,m/min
Zone 4 | Coated Inner Diameter | Avg,101.8,µm
Zone 4 | Coated Inner Diameter | Max,102.1,µm
Zone 4 | Coated Inner Diameter | Min,101.3,µm
Zone 4 | Coated Outer Diameter | Avg,118.82,µm
Zone 4 | Coated Outer Diameter | Max,120.2,µm
Zone 4 | Coated Outer Diameter | Min,117.6,µm
Zone 4 | Furnace DegC Actual | Avg,2240.03,C
Zone 4 | Furnace DegC Actual | Max,2240.79,C
Zone 4 | Furnace DegC Actual | Min,2239.31,C
Zone 4 | Tension N | Avg,-0.12,g
Zone 4 | Tension N | Max,-0.08,g
Zone 4 | Tension N | Min,-0.18,g
