Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T0_60_p2,
Order__Draw Date,2025-08-20 08:10:30.047772,
Order__Order Index,,
Order__Preform Number,T0_60_p2,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),27,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),2,count
Order__Fiber Diameter (µm),40,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),42,°C
Order__Secondary Coating Temperature (°C),28,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-08-20 08:10:30.047772,
Process__Preform Diameter,16,mm
Process__Preform Shape,Tiger Cut,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,1,bool
Process__Tiger Cut,27,%
Process__PM Iris System,1,bool
Process__Iris Mode,PM Auto,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,21,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),88.9165868786,µm
Process__Second Coating Diameter (Theoretical),113.4913091435,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,42,°C
Process__Secondary Coating Temperature,28,°C
Process__Primary Die Diameter,150,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_150,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1,
Process__TF Mode,Winder,
Process__Increment TF Value,0.128,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-08-20 08:10:30.047772,
Dashboard Log File,T0_60_p2_19082025_185904.csv,
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-08-19 18:06:24.700000,index/label
Zone 1 | End,2025-08-19 18:38:37.700000,index/label
Zone 1 | Bare Fibre Diameter | Avg,40,µm
Zone 1 | Bare Fibre Diameter | Max,40.4,µm
Zone 1 | Bare Fibre Diameter | Min,39.6,µm
Zone 1 | Capstan Speed | Avg,101.31,m/min
Zone 1 | Capstan Speed | Max,104.35,m/min
Zone 1 | Capstan Speed | Min,99.46,m/min
Zone 1 | Coated Inner Diameter | Avg,90.55,µm
Zone 1 | Coated Inner Diameter | Max,91.2,µm
Zone 1 | Coated Inner Diameter | Min,89.9,µm
Zone 1 | Coated Outer Diameter | Avg,117.8,µm
Zone 1 | Coated Outer Diameter | Max,118.5,µm
Zone 1 | Coated Outer Diameter | Min,116.4,µm
Zone 1 | Furnace DegC Actual | Avg,2285.01,C
Zone 1 | Furnace DegC Actual | Max,2285.54,C
Zone 1 | Furnace DegC Actual | Min,2283.93,C
Zone 1 | Tension N | Avg,-0.02,g
Zone 1 | Tension N | Max,0.06,g
Zone 1 | Tension N | Min,-0.1,g
Zone 2 | Start,2025-08-19 17:43:27.700000,index/label
Zone 2 | End,2025-08-19 18:00:42.700000,index/label
Zone 2 | Bare Fibre Diameter | Avg,40.02,µm
Zone 2 | Bare Fibre Diameter | Max,40.4,µm
Zone 2 | Bare Fibre Diameter | Min,39.6,µm
Zone 2 | Capstan Speed | Avg,101.08,m/min
Zone 2 | Capstan Speed | Max,102.62,m/min
Zone 2 | Capstan Speed | Min,94.46,m/min
Zone 2 | Coated Inner Diameter | Avg,91.78,µm
Zone 2 | Coated Inner Diameter | Max,93.1,µm
Zone 2 | Coated Inner Diameter | Min,91,µm
Zone 2 | Coated Outer Diameter | Avg,118.31,µm
Zone 2 | Coated Outer Diameter | Max,119.3,µm
Zone 2 | Coated Outer Diameter | Min,116,µm
Zone 2 | Furnace DegC Actual | Avg,2284.99,C
Zone 2 | Furnace DegC Actual | Max,2286.07,C
Zone 2 | Furnace DegC Actual | Min,2283.79,C
Zone 2 | Tension N | Avg,0.08,g
Zone 2 | Tension N | Max,0.17,g
Zone 2 | Tension N | Min,0,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,2.22,km
Zone 1 | Fiber Length | Max,5.47,km
Zone 2 | Fiber Length | Min,1.2,km
Zone 2 | Fiber Length | Max,1.64,km
,,
—,—,
CUT/SAVE Plan Source,T0_60_p2.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,2.22,km
Good Zone 1 Fibre Length Max,5.47,km
Good Zone 2 Fibre Length Min,1.2,km
Good Zone 2 Fibre Length Max,1.64,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
