Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,mlt0004,
Order__Draw Date,2025-06-29 09:39:35.786477,
Order__Order Index,,
Order__Preform Number,mlt0004,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),17.0,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),47.0,°C
Order__Secondary Coating Temperature (°C),44.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-06-29 09:39:35.786477,
Process__Preform Diameter,17.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,23.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,17.0,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),71.41646817404266,µm
Process__Second Coating Diameter (Theoretical),103.78153604446919,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,47.0,°C
Process__Secondary Coating Temperature,44.0,°C
Process__Primary Die Diameter,150,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_150,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,,
Process__Increment TF Value,,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-06-29 09:39:35.786477,
Dashboard Log File,MLT0004_29062025_090704.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-06-29 09:00:22.469000,index/label
Zone 1 | End,2025-06-29 09:02:35.469000,index/label
Zone 1 | Bare Fibre Diameter | Avg,400.10000610351597,µm
Zone 1 | Bare Fibre Diameter | Max,400.100006103516,µm
Zone 1 | Bare Fibre Diameter | Min,400.100006103516,µm
Zone 1 | Capstan Speed | Avg,0.0,m/min
Zone 1 | Capstan Speed | Max,0,m/min
Zone 1 | Capstan Speed | Min,0,m/min
Zone 1 | Coated Inner Diameter | Avg,0.0,µm
Zone 1 | Coated Inner Diameter | Max,0,µm
Zone 1 | Coated Inner Diameter | Min,0,µm
Zone 1 | Coated Outer Diameter | Avg,0.09259258707364397,µm
Zone 1 | Coated Outer Diameter | Max,0.0999999940395355,µm
Zone 1 | Coated Outer Diameter | Min,0.0,µm
Zone 1 | Furnace DegC Actual | Avg,341.73345834237574,C
Zone 1 | Furnace DegC Actual | Max,341.803131103516,C
Zone 1 | Furnace DegC Actual | Min,341.668762207031,C
Zone 1 | Tension N | Avg,0.5340036462854455,g
Zone 1 | Tension N | Max,0.585970878601074,g
Zone 1 | Tension N | Min,0.522899627685547,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0,km
Zone 1 | Fiber Length | Max,0,km
,,
—,—,
CUT/SAVE Plan Source,mlt0004.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0,km
Good Zone 1 Fibre Length Max,0,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
