Parameter Name,Value,Units
Draw Name,P0454JF_1,
Draw Date,2024-08-12 12:00:00,
Process Setup Timestamp,2024-08-12 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,32.0,mm
Main Coating,,
Secondary Coating,,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2024-08-12 13:00:00,
Preform Number,P0454J,
Order Notes,125,
Tension (g),"68.07,25.16",g
Draw Speed (m/min),25,m/min
Tension Actual (g),"68.07, 25.16",g
Draw Speed Actual (m/min),"24.72, 24.52",m/min
Fiber Diameter (µm),125,µm
Entry Fiber Diameter (µm),125,µm
Main Coating Diameter (µm),167,µm
Secondary Coating Diameter (µm),260,µm
Furnace DegC Set,"2120,2035",°C
Preform Shape,Round,
Preform Diameter,27.75,mm
Total Fiber Length (m),2604,m
Total Good Fiber Length (m),985,m
Cut 1,25,m
Good fiber 1,492,m
Cut 2,592,m
Good fiber 2,493,m
Required Length (m) (for T&M+costumer),500500,m
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=1.002,index/label
Zone 1 End,legacy_fibre_km=1.493,index/label
Good Zone 1 (km from end) Start,1.111,km
Good Zone 1 (km from end) End,1.602,km
Good Zone 1 Length,0.4910000000000001,km
Good Zone 1 Fibre Length Min,1.002,km
Good Zone 1 Fibre Length Max,1.493,km
Marked Zone 1 Avg - Bare Fibre Diameter,125.0,
Marked Zone 1 Min - Bare Fibre Diameter,125.0,
Marked Zone 1 Max - Bare Fibre Diameter,125.0,
Marked Zone 1 Avg - Furnace DegC Actual,2120.0,
Marked Zone 1 Min - Furnace DegC Actual,2120.0,
Marked Zone 1 Max - Furnace DegC Actual,2120.0,
Marked Zone 1 Avg - Capstan Speed,24.72,
Marked Zone 1 Min - Capstan Speed,24.72,
Marked Zone 1 Max - Capstan Speed,24.72,
Marked Zone 1 Avg - Tension N,68.07,g
Marked Zone 1 Min - Tension N,68.07,g
Marked Zone 1 Max - Tension N,68.07,g
Marked Zone 1 Avg - Pf Process Position,60.58,cm
Marked Zone 1 Min - Pf Process Position,58.53,cm
Marked Zone 1 Max - Pf Process Position,62.63,cm
Zone 2 Start,legacy_fibre_km=2.085,index/label
Zone 2 End,legacy_fibre_km=2.577,index/label
Good Zone 2 (km from end) Start,0.027000000000000135,km
Good Zone 2 (km from end) End,0.5190000000000001,km
Good Zone 2 Length,0.492,km
Good Zone 2 Fibre Length Min,2.085,km
Good Zone 2 Fibre Length Max,2.577,km
Marked Zone 2 Avg - Bare Fibre Diameter,125.0,
Marked Zone 2 Min - Bare Fibre Diameter,125.0,
Marked Zone 2 Max - Bare Fibre Diameter,125.0,
Marked Zone 2 Avg - Furnace DegC Actual,2035.0,
Marked Zone 2 Min - Furnace DegC Actual,2035.0,
Marked Zone 2 Max - Furnace DegC Actual,2035.0,
Marked Zone 2 Avg - Capstan Speed,24.72,
Marked Zone 2 Min - Capstan Speed,24.72,
Marked Zone 2 Max - Capstan Speed,24.72,
Marked Zone 2 Avg - Tension N,68.07,g
Marked Zone 2 Min - Tension N,68.07,g
Marked Zone 2 Max - Tension N,68.07,g
Marked Zone 2 Avg - Pf Process Position,81.89500000000001,cm
Marked Zone 2 Min - Pf Process Position,81.62,cm
Marked Zone 2 Max - Pf Process Position,82.17,cm
