Data Log
[plc]BareFibreDiaDisplay,[plc]FrnTmpMv,[plc]CpLenTareVal,[plc]UVLamp1Intensity,[plc]FrnMFC1MV,[plc]GoodFibreStartState,[plc]TrendMarkerPulse
125.000,2100.00,0.000,82.00,1.10,0,0
125.030,2100.45,0.050,82.20,1.15,0,0
125.060,2100.90,0.100,82.40,1.20,0,0
125.090,2101.35,0.150,82.60,1.25,0,0
125.120,2101.80,0.200,82.80,1.10,0,0
125.150,2102.25,0.250,82.00,1.15,0,0
125.180,2102.70,0.300,82.20,1.20,0,0
125.000,2103.15,0.350,82.40,1.25,0,0
125.030,2103.60,0.400,82.60,1.10,0,0
125.060,2104.05,0.450,82.80,1.15,0,0
125.090,2104.50,0.500,82.00,1.20,1,0
125.120,2104.95,0.550,82.20,1.25,1,0
125.150,2105.40,0.600,82.40,1.10,1,0
125.180,2105.85,0.650,82.60,1.15,1,0
125.000,2106.30,0.700,82.80,1.20,1,0
125.030,2106.75,0.750,82.00,1.25,1,0
125.060,2107.20,0.800,82.20,1.10,1,0
125.090,2107.65,0.850,82.40,1.15,1,0
125.120,2108.10,0.900,82.60,1.20,1,0
125.150,2108.55,0.950,82.80,1.25,1,0
125.180,2109.00,1.000,82.00,1.10,1,0
125.000,2109.45,1.050,82.20,1.15,1,0
125.030,2109.90,1.100,82.40,1.20,1,0
125.060,2110.35,1.150,82.60,1.25,1,0
125.090,2110.80,1.200,82.80,1.10,1,0
125.120,2111.25,1.250,82.00,1.15,1,0
125.150,2111.70,1.300,82.20,1.20,1,0
125.180,2112.15,1.350,82.40,1.25,1,0
125.000,2112.60,1.400,82.60,1.10,1,0
125.030,2113.05,1.450,82.80,1.15,1,0
125.060,2113.50,1.500,82.00,1.20,1,0
125.090,2113.95,1.550,82.20,1.25,1,0
125.120,2114.40,1.600,82.40,1.10,1,0
125.150,2114.85,1.650,82.60,1.15,1,0
125.180,2115.30,1.700,82.80,1.20,1,0
125.000,2115.75,1.750,82.00,1.25,1,0
125.030,2116.20,1.800,82.20,1.10,1,0
125.060,2116.65,1.850,82.40,1.15,1,0
125.090,2117.10,1.900,82.60,1.20,1,0
125.120,2117.55,1.950,82.80,1.25,1,0
125.150,2118.00,2.000,82.00,1.10,1,1
125.180,2118.45,2.050,82.20,1.15,1,0
125.000,2118.90,2.100,82.40,1.20,1,0
125.030,2119.35,2.150,82.60,1.25,1,0
125.060,2119.80,2.200,82.80,1.10,1,0
