fault_id,fault_ts,fault_component,fault_title,fault_description,fault_severity,fault_actor,fault_source_file,fault_related_draw
1779003435872,2026-05-17 10:37:15,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779003436446,2026-05-17 10:37:16,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779003437036,2026-05-17 10:37:17,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779003437692,2026-05-17 10:37:17,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779003438281,2026-05-17 10:37:18,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779003507161,2026-05-17 10:38:27,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779003507737,2026-05-17 10:38:27,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779003508296,2026-05-17 10:38:28,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779003508874,2026-05-17 10:38:28,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779003509431,2026-05-17 10:38:29,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779003606790,2026-05-17 10:40:06,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779003607370,2026-05-17 10:40:07,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779003607931,2026-05-17 10:40:07,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779003608503,2026-05-17 10:40:08,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779003609068,2026-05-17 10:40:09,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779814725690,2026-05-26 19:58:45,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779814729186,2026-05-26 19:58:49,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779814732575,2026-05-26 19:58:52,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779814736171,2026-05-26 19:58:56,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779814740654,2026-05-26 19:59:00,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779816991717,2026-05-26 20:36:31,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779816992925,2026-05-26 20:36:32,Smoke Fault Component 4,Smoke fault 4,Fault created during network smoke test 4,critical,codex,,
1779816994135,2026-05-26 20:36:34,Smoke Fault Component 1,Smoke fault 1,Fault created during network smoke test 1,medium,codex,,
1779816995410,2026-05-26 20:36:35,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
1779816996644,2026-05-26 20:36:36,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779817752808,2026-05-26 20:49:12,Smoke Fault Component 3,Smoke fault 3,Fault created during network smoke test 3,medium,codex,,
1779817754097,2026-05-26 20:49:14,Smoke Fault Component 0,Smoke fault 0,Fault created during network smoke test 0,critical,codex,,
1779817755353,2026-05-26 20:49:15,Smoke Fault Component 2,Smoke fault 2,Fault created during network smoke test 2,critical,codex,,
